Species	Site	Array	Sample
ASHY	JAM	HOL-05	070312SERE
ASHY	JAM	HOL-05	070312SERF
ASHY	JAM	HOL-05	070312SERG
ASHY	JAM	HOL-05	070312SERH
ASHY	JAM	HOL-05	071712TKLA
ASHY	JAM	HOL-05	071812TKLA
ASHY	JAM	HOL-05	071812TKLC
ASHY	JAM	HOL-05	071812TKLD
ASHY	JAM	HOL-05	071912TKLA
ASHY	JAM	HOL-05	071912TKLB
ASHY	JAM	HOL-06	062112TKLB
ASHY	JAM	HOL-06	062112TKLC
ASHY	JAM	HOL-06	062112TKLD
ASHY	JAM	HOL-06	062112TKLE
ASHY	JAM	HOL-06	062112TKLF
ASHY	JAM	HOL-06	062911TKLC
ASHY	JAM	HOL-06	062911TKLD
ASHY	JAM	HOL-06	062911TKLE
ASHY	JAM	HOL-06	063011TKLA
ASHY	JAM	HOL-06	070111TKLA
ASHY	JAM	HOL-06	070312SERC
ASHY	JAM	HOL-06	070312SERD
ASHY	JAM	HOL-06	071911TKLB
ASHY	JAM	HOL-06	071911TKLC
ASHY	JAM	HOL-06	080311TKLG
ASHY	JAM	HOL-07	061912TKLA
ASHY	JAM	HOL-07	062112TKLG
ASHY	JAM	HOL-07	062911TKLG
ASHY	JAM	HOL-07	071712TKLB
ASHY	JAM	HOL-07	071712TKLC
ASHY	JAM	RAJ-09	062911TKLK
ASHY	JAM	RAJ-09	063011TKLC
ASHY	JAM	RAJ-09	063011TKLD
ASHY	JAM	RAJ-09	072011TKLD
ASHY	JAM	RAJ-09	072211TKLB
ASHY	JAM	RAJ-09	072211TKLC
ASHY	JAM	RAJ-09	CNHY_RAJ_30
ASHY	JAM	RAJ-09	CNHY_RAJ_32
ASHY	JAM	RAJ-09	CNHY_RAJ_39
ASHY	JAM	RAJ-09	CNHY_RAJ_40
ASHY	JAM	RAJ-09	CNHY_RAJ_42
ASHY	JAM	RAJ-09	CNHY_RAJ_44
ASHY	JAM	RAJ-09	CNHY_RAJ_46
ASHY	JAM	RAJ-09	CNHY_RAJ_47
ASHY	JAM	RAJ-09	CNHY_RAJ_48
ASHY	JAM	RAJ-09	CNHY_RAJ_49
ASHY	JAM	RAJ-09	CNHY_RAJ_53
ASHY	JAM	RAJ-09	CNHY_RAJ_54
ASHY	JAM	RAJ-09	CNHY_RAJ_55
ASHY	JAM	RAJ-09	CNHY_RAJ_57
ASHY	JAM	RAJ-09	CNHY_RAJ_58
ASHY	JAM	RAJ-09	CNHY_RAJ_65
ASHY	JAM	RAJ-10	030912SERN
ASHY	JAM	RAJ-10	043011TKLE
ASHY	JAM	RAJ-10	043011TKLF
ASHY	JAM	RAJ-10	043011TKLG
