	060111TKLD	060111TKLE	060211TKLB	060311TKLJ	060311TKLL	071311TKLD	072611TKLD	072611TKLE	072911TKLB	SCOC_SYR_02	SCOC_SYR_05	SCOC_SYR_07	SCOC_SYR_08	SCOC_SYR_09	SCOC_SYR_10	SCOC_SYR_11	SCOC_SYR_12	SCOC_SYR_13	SCOC_SYR_14	SCOC_SYR_15	SCOC_SYR_16	SCOC_SYR_26	SCOC_SYR_27	SCOC_SYR_39	SCOC_SYR_40	SCOC_SYR_41	SCOC_SYR_42	SCOC_SYR_43	SCOC_SYR_44	SCOC_SYR_46	SCOC_SYR_47	SCOC_SYR_48	SCOC_SYR_50	SCOC_SYR_51	SCOC_SYR_53	SCOC_SYR_56	SCOC_SYR_57	SCOC_SYR_60	SCOC_SYR_61	SCOC_SYR_62	SCOC_SYR_63	SCOC_SYR_64	SCOC_SYR_66
060111TKLD																																											
060111TKLE	0.05503																																										
060211TKLB	-0.083727	-0.055976																																									
060311TKLJ	0.05503	0.082782	0.05503																																								
060311TKLL	0.082782	-0.028224	-0.000473	0.166037																																							
071311TKLD	-0.083727	0.05503	0.05503	0.138285	-0.000473																																						
072611TKLD	0.166037	0.110533	0.22154	0.110533	0.110533	0.05503																																					
072611TKLE	-0.028224	-0.028224	0.027279	0.027279	0.05503	-0.028224	0.082782																																				
072911TKLB	-0.028224	-0.028224	-0.083727	0.138285	0.027279	-0.028224	0.110533	0.110533																																			
SCOC_SYR_02	-0.055976	-0.028224	0.110533	0.110533	0.027279	-0.083727	0.082782	-0.083727	0.05503																																		
SCOC_SYR_05	-0.000473	0.082782	0.166037	0.082782	0.193788	0.05503	0.249291	0.027279	0.05503	-0.055976																																	
SCOC_SYR_07	-0.055976	0.138285	0.110533	0.110533	0.110533	-0.055976	0.082782	0.027279	0.05503	0.05503	0.110533																																
SCOC_SYR_08	-0.000473	-0.028224	0.027279	0.193788	-0.055976	-0.055976	-0.000473	-0.055976	-0.000473	-0.055976	0.05503	-0.000473																															
SCOC_SYR_09	-0.000473	-0.028224	0.027279	0.193788	-0.055976	-0.055976	-0.000473	-0.055976	-0.000473	-0.055976	0.05503	-0.000473	-0.5																														
SCOC_SYR_10	0.027279	0.110533	0.138285	0.110533	0.082782	-0.000473	0.138285	0.027279	-0.028224	-0.028224	0.05503	0.138285	0.110533	0.110533																													
SCOC_SYR_11	0.05503	0.05503	0.110533	0.166037	0.082782	-0.000473	0.05503	0.027279	0.05503	0.05503	0.193788	0.082782	0.05503	0.05503	-0.028224																												
SCOC_SYR_12	-0.055976	0.110533	0.027279	0.05503	0.166037	0.110533	0.082782	-0.000473	-0.028224	0.082782	-0.028224	-0.055976	0.05503	0.05503	0.082782	-0.000473																											
SCOC_SYR_13	-0.083727	0.082782	0.027279	-0.000473	0.082782	0.082782	0.05503	-0.000473	0.082782	0.027279	0.166037	0.027279	-0.000473	-0.000473	-0.055976	0.027279	-0.000473																										
SCOC_SYR_14	0.027279	0.05503	0.138285	0.166037	0.110533	0.027279	0.05503	0.082782	0.05503	-0.028224	-0.055976	0.110533	0.05503	0.05503	-0.028224	0.082782	0.05503	0.082782																									
SCOC_SYR_15	-0.083727	0.138285	0.138285	0.22154	0.05503	-0.000473	0.05503	0.082782	0.027279	-0.083727	0.082782	-0.000473	-0.028224	-0.028224	0.027279	-0.028224	0.027279	0.082782	0.027279																								
SCOC_SYR_16	0.05503	0.138285	0.082782	0.166037	0.166037	0.027279	0.193788	0.027279	0.138285	0.138285	0.249291	0.05503	0.110533	0.110533	0.027279	-0.028224	0.110533	-0.055976	0.138285	0.082782																							
