"OBJECTID","INPUT_FID","NEAR_FID","DISTANCE"
1,CPN-07,CPN-08,85.892399
2,CPN-07,CPN-06,2381.665021
3,CPN-07,CPN-05,2405.434165
4,CPN-07,CPN-02,4786.420806
5,CPN-07,CPN-01,4791.371268
6,CPN-08,CPN-07,85.892399
7,CPN-08,CPN-06,2309.638262
8,CPN-08,CPN-05,2334.499677
9,CPN-08,CPN-02,4704.150781
10,CPN-08,CPN-01,4709.287196
11,CPN-05,CPN-08,2334.499677
12,CPN-05,CPN-07,2405.434165
13,CPN-05,CPN-06,59.293907
14,CPN-05,CPN-02,2588.061072
15,CPN-05,CPN-01,2583.221704
16,CPN-06,CPN-08,2309.638262
17,CPN-06,CPN-07,2381.665021
18,CPN-06,CPN-05,59.293907
19,CPN-06,CPN-02,2579.596119
20,CPN-06,CPN-01,2575.562565
21,CPN-01,CPN-08,4709.287196
22,CPN-01,CPN-07,4791.371268
23,CPN-01,CPN-06,2575.562565
24,CPN-01,CPN-05,2583.221704
25,CPN-01,CPN-02,35.690185
26,CPN-02,CPN-08,4704.150781
27,CPN-02,CPN-07,4786.420806
28,CPN-02,CPN-06,2579.596119
29,CPN-02,CPN-05,2588.061072
30,CPN-02,CPN-01,35.690185
