	SCOC CPN 01	SCOC CPN 03	SCOC CPN 04	SCOC CPN 05	SCOC CPN 06	SCOC CPN 07	SCOC CPN 09	SCOC CPN 10	SCOC CPN 11	SCOC CPN 12	SCOC CPN 13	SCOC CPN 14	SCOC CPN 15	SCOC CPN 16	SCOC CPN 17	SCOC CPN 18	SCOC CPN 19	SCOC CPN 20	SCOC CPN 21	SCOC CPN 22	SCOC CPN 23	SCOC CPN 24	SCOC CPN 25	SCOC CPN 26	SCOC CPN 27	SCOC CPN 28	SCOC CPN 29	SCOC CPN 30	SCOC CPN 31	SCOC CPN 32	SCOC CPN 33	SCOC CPN 34	SCOC CPN 35	SCOC CPN 36	SCOC CPN 39	SCOC CPN 40	SCOC CPN 43	SCOC CPN 44	SCOC CPN 45	SCOC CPN 46	SCOC CPN 47	SCOC CPN 48	SCOC CPN 49	SCOC CPN 50	SCOC CPN 51	SCOC CPN 52	SCOC CPN 53	SCOC CPN 60	SCOC CPN 61	SCOC CPN 63	SCOC CPN 64	SCOC CPN 65	SCOC CPN 66	SCOC CPN 67	SCOC CPN 68	SCOC CPN 69	SCOC CPN 71	SCOC CPN 72	SCOC CPN 74	SCOC CPN 75	SCOC CPN 76	SCOC CPN 77	SCOC CPN 78	SCOC CPN 80	SCOC CPN 81	SCOC CPN 83
SCOC CPN 01																																																																		
SCOC CPN 03	0.039835																																																																	
SCOC CPN 04	0.09666	0.181897																																																																
SCOC CPN 05	0.09666	0.09666	0.21031																																																															
SCOC CPN 06	0.039835	-0.01699	0.068248	0.068248																																																														
SCOC CPN 07	0.039835	0.068248	0.011423	0.181897	0.068248																																																													
SCOC CPN 09	0.125072	-0.01699	0.125072	0.181897	0.011423	0.181897																																																												
SCOC CPN 10	0.068248	0.125072	0.068248	0.09666	0.068248	0.181897	0.068248																																																											
SCOC CPN 11	0.125072	0.125072	0.068248	0.125072	0.125072	0.21031	0.181897	0.09666																																																										
SCOC CPN 12	0.039835	-0.01699	0.125072	0.09666	0.011423	0.181897	0.011423	0.125072	0.153485																																																									
SCOC CPN 13	0.125072	0.153485	0.039835	0.068248	0.039835	0.09666	0.21031	0.039835	-0.01699	0.125072																																																								
SCOC CPN 14	0.09666	0.011423	-0.102227	0.125072	-0.01699	0.011423	0.039835	-0.045402	0.125072	-0.01699	-0.045402																																																							
SCOC CPN 15	-0.102227	0.09666	-0.01699	0.09666	0.039835	0.09666	0.153485	0.011423	0.011423	0.068248	0.068248	0.09666																																																						
SCOC CPN 16	0.039835	0.153485	0.068248	0.068248	0.039835	0.181897	0.238722	0.09666	0.09666	0.011423	0.039835	-0.01699	-0.045402																																																					
SCOC CPN 17	0.125072	0.09666	0.153485	0.238722	-0.073814	0.267134	0.125072	0.039835	0.181897	0.125072	0.125072	0.153485	-0.045402	0.068248																																																				
SCOC CPN 18	0.125072	0.039835	-0.01699	0.125072	0.039835	0.039835	0.125072	0.153485	0.181897	0.09666	0.011423	-0.01699	0.039835	0.09666	-0.01699																																																			
SCOC CPN 19	0.068248	0.181897	0.09666	0.323959	0.125072	0.125072	0.295547	0.068248	0.181897	0.181897	0.125072	0.068248	-0.045402	0.125072	0.238722	0.181897																																																		
SCOC CPN 20	0.09666	-0.073814	0.011423	0.09666	-0.073814	0.068248	-0.073814	0.039835	-0.01699	0.039835	-0.045402	-0.130639	-0.01699	0.039835	0.039835	-0.045402	0.153485																																																	
SCOC CPN 21	0.153485	0.267134	0.09666	0.153485	0.125072	0.21031	0.295547	0.21031	0.09666	-0.01699	-0.01699	-0.01699	0.125072	-0.045402	0.238722	0.068248	0.267134	0.039835																																																
