"OBJECTID","INPUT_FID","NEAR_FID","DISTANCE"
1,RAJ-20,RAJ-19,83.902445
2,RAJ-20,HOL-07,2265.208613
3,RAJ-20,HOL-06,2685.030905
4,RAJ-20,RAJ-09,2546.620570
5,RAJ-20,RAJ-10,2802.687717
6,RAJ-20,HOL-05,3265.882895
7,RAJ-19,RAJ-20,83.902445
8,RAJ-19,HOL-07,2316.711720
9,RAJ-19,HOL-06,2734.581758
10,RAJ-19,RAJ-09,2488.087338
11,RAJ-19,RAJ-10,2745.238832
12,RAJ-19,HOL-05,3305.122558
13,HOL-07,RAJ-20,2265.208613
14,HOL-07,RAJ-19,2316.711720
15,HOL-07,HOL-06,425.132326
16,HOL-07,RAJ-09,3162.491241
17,HOL-07,RAJ-10,3312.526753
18,HOL-07,HOL-05,1103.285686
19,HOL-06,RAJ-20,2685.030905
20,HOL-06,RAJ-19,2734.581758
21,HOL-06,HOL-07,425.132326
22,HOL-06,RAJ-09,3378.343231
23,HOL-06,RAJ-10,3503.599639
24,HOL-06,HOL-05,720.137422
25,RAJ-09,RAJ-20,2546.620570
26,RAJ-09,RAJ-19,2488.087338
27,RAJ-09,HOL-07,3162.491241
28,RAJ-09,HOL-06,3378.343231
29,RAJ-09,RAJ-10,260.940811
30,RAJ-09,HOL-05,3471.796280
31,RAJ-10,RAJ-20,2802.687717
32,RAJ-10,RAJ-19,2745.238832
33,RAJ-10,HOL-07,3312.526753
34,RAJ-10,HOL-06,3503.599639
35,RAJ-10,RAJ-09,260.940811
36,RAJ-10,HOL-05,3547.413482
37,HOL-05,RAJ-20,3265.882895
38,HOL-05,RAJ-19,3305.122558
39,HOL-05,HOL-07,1103.285686
40,HOL-05,HOL-06,720.137422
41,HOL-05,RAJ-09,3471.796280
42,HOL-05,RAJ-10,3547.413482
