	030912SERN	043011TKLE	043011TKLF	043011TKLG	043011TKLH	043011TKLI	043011TKLJ	043011TKLL	061912TKLA	062012TKLA	062112TKLB	062112TKLC	062112TKLD	062112TKLE	062112TKLF	062112TKLG	062911TKLC	062911TKLD	062911TKLE	062911TKLG	062911TKLH	062911TKLI	062911TKLJ	062911TKLK	062911TKLL	063011TKLA	063011TKLB	063011TKLC	063011TKLD	070111TKLA	070111TKLC	070111TKLE	070312SERC	070312SERD	070312SERE	070312SERF	070312SERG	070312SERH	071712TKLA	071712TKLB	071712TKLC	071812TKLA	071812TKLC	071812TKLD	071911TKLB	071911TKLC	071911TKLE	071911TKLG	071912TKLA	071912TKLB	072011TKLB	072011TKLD	072011TKLE	072111TKLB	072211TKLB	072211TKLC	072211TKLD	072211TKLE	080311TKLF	080311TKLG	080411TKLD	CNHY RAJ 30	CNHY RAJ 31	CNHY RAJ 32	CNHY RAJ 33	CNHY RAJ 34	CNHY RAJ 35	CNHY RAJ 36	CNHY RAJ 37	CNHY RAJ 38	CNHY RAJ 39	CNHY RAJ 40	CNHY RAJ 41	CNHY RAJ 43	CNHY RAJ 44	CNHY RAJ 45	CNHY RAJ 46	CNHY RAJ 47	CNHY RAJ 48	CNHY RAJ 49	CNHY RAJ 50	CNHY RAJ 51	CNHY RAJ 52	CNHY RAJ 53	CNHY RAJ 54	CNHY RAJ 55	CNHY RAJ 56	CNHY RAJ 57	CNHY RAJ 58	CNHY RAJ 59	CNHY RAJ 60	CNHY RAJ 61	CNHY RAJ 62	CNHY RAJ 63	CNHY RAJ 64	CNHY RAJ 65	CNHY RAJ 66	CNHY RAJ 67	CNHY RAJ 68	CNHY RAJ 69	CNHY RAJ 70	CNHY RAJ 71	CNHY RAJ 72	CNHY RAJ 73	CNHY RAJ 74	CNHY RAJ 75	CNHY RAJ 76	CNHY RAJ 77
030912SERN																																																																																																												
043011TKLE	-0.151078																																																																																																											
043011TKLF	0.048306	0.042812																																																																																																										
043011TKLG	-0.00154	-0.034732	0.00404																																																																																																									
043011TKLH	-0.151078	-0.073505	-0.073505	0.120357																																																																																																								
043011TKLI	0.197845	-0.034732	-0.034732	0.236674	0.00404																																																																																																							
043011TKLJ	0.098153	-0.034732	-0.073505	0.081585	-0.034732	-0.228594																																																																																																						
043011TKLL	0.147999	0.00404	-0.034732	0.120357	0.081585	-0.034732	-0.073505																																																																																																					
061912TKLA	0.048306	0.081585	-0.034732	0.00404	0.159129	0.159129	-0.073505	-0.073505																																																																																																				
062012TKLA	0.197845	0.081585	0.00404	0.120357	0.081585	0.120357	0.120357	-0.073505	0.197902																																																																																																			
062112TKLB	-0.051386	0.00404	0.00404	0.120357	-0.034732	-0.034732	-0.112277	-0.112277	-0.034732	0.081585																																																																																																		
062112TKLC	0.098153	0.00404	0.081585	0.120357	0.081585	0.120357	0.081585	0.00404	0.00404	0.00404	-0.112277																																																																																																	
062112TKLD	-0.00154	0.042812	-0.112277	-0.034732	0.00404	0.00404	-0.034732	0.081585	-0.034732	0.159129	-0.073505	0.00404																																																																																																
062112TKLE	-0.00154	0.120357	0.042812	0.081585	0.042812	0.159129	0.042812	0.159129	0.081585	0.352991	0.120357	0.042812	-0.034732																																																																																															
062112TKLF	-0.051386	-0.034732	0.00404	0.00404	-0.034732	0.042812	-0.034732	0.00404	0.00404	0.120357	0.00404	-0.073505	-0.034732	-0.112277																																																																																														
062112TKLG	0.175924	0.062265	-0.098382	-0.018059	-0.018059	0.062265	-0.018059	-0.018059	0.062265	-0.018059	0.062265	-0.018059	-0.098382	0.142589	-0.098382																																																																																													
