	021612SERA	021612SERC	022312SERX	030912SERH	030912SERO	062112TKLA	070111TKLF	071612TKLC	071712SERD	071812SERL	071812TKLB	071912TKLE	080411TKLE	080511TKLE	SCOC HOL 02	SCOC HOL 05	SCOC HOL 06	SCOC HOL 07	SCOC HOL 08	SCOC HOL 11	SCOC HOL 12	SCOC HOL 13	SCOC HOL 15	SCOC HOL 16	SCOC HOL 18	SCOC HOL 19	SCOC HOL 21	SCOC HOL 22	SCOC HOL 23	SCOC RAJ 01	SCOC RAJ 02	SCOC RAJ 03	SCOC RAJ 04	SCOC RAJ 05	SCOC RAJ 06	SCOC RAJ 07	SCOC RAJ 08	SCOC RAJ 10	SCOC RAJ 11	SCOC RAJ 12	SCOC RAJ 13	SCOC RAJ 14	SCOC RAJ 15	SCOC RAJ 16	SCOC RAJ 18	SCOC RAJ 20	SCOC RAJ 22	SCOC RAJ 33	SCOC RAJ 34	SCOC RAJ 35	SCOC RAJ 36	SCOC RAJ 37	SCOC RAJ 38	SCOC RAJ 39	SCOC RAJ 40	SCOC RAJ 41	SCOC RAJ 42	SCOC RAJ 43	SCOC RAJ 46	SCOC RAJ 47	SCOC RAJ 48	SCOC RAJ 49	SCOC RAJ 50	SCOC RAJ 51	SCOC RAJ 52	SCOC RAJ 53	SCOC RAJ 54	SCOC RAJ 55	SCOC RAJ 56	SCOC RAJ 57	SCOC RAJ 58
021612SERA																																																																							
021612SERC	0.138053																																																																						
022312SERX	0.138053	0.160377																																																																					
030912SERH	0.037308	0.190394	0.100342																																																																				
030912SERO	0.27238	0.100342	0.220411	0.250428																																																																			
062112TKLA	0.305962	0.34048	0.34048	0.250428	0.040308																																																																		
070111TKLF	0.138053	0.160377	-0.5	0.100342	0.220411	0.34048																																																																	
071612TKLC	0.07089	0.250428	0.220411	0.13036	0.160377	-0.139795	0.220411																																																																
071712SERD	0.27238	0.190394	0.190394	0.070325	0.070325	0.13036	0.190394	0.040308																																																															
071812SERL	0.104471	-0.049743	0.250428	-0.019726	0.190394	0.190394	0.250428	0.13036	0.220411																																																														
071812TKLB	0.27227	-0.052897	0.394207	0.190978	0.190978	0.353561	0.394207	0.27227	0.190978	0.069041																																																													
071912TKLE	0.104471	0.070325	0.010291	0.010291	0.040308	0.13036	0.010291	0.13036	0.13036	0.070325	0.190978																																																												
080411TKLE	0.07089	0.160377	0.100342	0.100342	0.100342	0.13036	0.100342	0.220411	0.160377	-0.019726	0.27227	0.070325																																																											
080511TKLE	0.003726	0.250428	0.250428	0.070325	0.190394	0.160377	0.250428	0.190394	0.13036	0.13036	0.312915	0.190394	0.13036																																																										
SCOC HOL 02	0.171635	0.190394	0.100342	0.250428	0.160377	0.250428	0.100342	0.280445	0.250428	0.160377	0.231624	0.100342	0.160377	0.220411																																																									
SCOC HOL 05	0.171635	0.13036	0.250428	0.010291	0.160377	0.070325	0.250428	-0.019726	0.13036	-0.169812	-0.012251	0.070325	0.070325	0.040308	0.100342																																																								
SCOC HOL 06	0.003726	0.100342	0.190394	0.040308	0.250428	0.280445	0.190394	0.13036	0.250428	0.010291	0.109686	0.010291	0.160377	0.100342	0.13036	0.13036																																																							
SCOC HOL 07	0.27238	0.280445	0.280445	0.280445	0.250428	0.190394	0.280445	0.100342	0.220411	0.220411	0.190978	0.100342	0.310462	0.280445	0.280445	0.070325	0.220411																																																						
SCOC HOL 08	0.27238	0.310462	0.160377	0.13036	0.190394	0.250428	0.160377	0.13036	0.220411	0.13036	0.353561	0.040308	0.220411	0.160377	0.160377	-0.019726	0.070325	0.010291																																																					
SCOC HOL 11	0.037308	0.070325	0.010291	-0.019726	0.070325	0.100342	0.010291	0.13036	-0.049743	-0.019726	0.190978	0.010291	-0.049743	0.040308	0.100342	0.040308	0.070325	0.220411	0.190394																																																				
SCOC HOL 12	0.138053	0.220411	0.070325	0.220411	0.190394	0.310462	0.070325	0.250428	0.100342	0.220411	0.109686	0.040308	0.070325	0.280445	0.070325	0.100342	0.190394	0.160377	0.280445	0.070325																																																			
SCOC HOL 13	0.104471	0.160377	0.34048	0.070325	0.100342	0.13036	0.34048	0.100342	0.220411	0.010291	0.109686	0.070325	0.100342	0.160377	0.160377	-0.019726	0.13036	0.280445	0.13036	0.100342	0.220411																																																		
SCOC HOL 15	0.138053	0.010291	0.070325	0.220411	0.100342	0.280445	0.070325	0.220411	0.010291	0.100342	0.190978	0.010291	0.13036	0.13036	0.100342	0.160377	0.100342	0.160377	0.190394	-0.019726	0.160377	0.220411																																																	
SCOC HOL 16	0.104471	0.040308	0.010291	0.070325	0.070325	0.190394	0.010291	0.220411	0.070325	0.040308	0.109686	-0.019726	0.070325	0.160377	-0.169812	0.13036	0.070325	0.220411	0.190394	-0.07976	0.070325	0.100342	-0.019726																																																
SCOC HOL 18	0.138053	0.250428	0.010291	-0.049743	0.100342	0.310462	0.010291	0.220411	0.13036	0.13036	0.27227	0.100342	0.100342	0.070325	0.13036	0.160377	0.13036	0.250428	0.160377	0.040308	0.220411	0.220411	0.100342	0.040308																																															
SCOC HOL 19	0.205217	0.190394	0.160377	0.13036	0.010291	0.100342	0.160377	0.190394	-0.07976	0.160377	0.27227	0.13036	0.040308	-0.019726	0.250428	0.13036	0.250428	0.220411	0.160377	-0.109778	0.190394	0.13036	0.010291	0.010291	0.13036																																														
SCOC HOL 21	0.27238	0.13036	0.250428	0.190394	0.250428	0.280445	0.250428	0.220411	0.100342	0.13036	0.069041	0.100342	0.100342	0.190394	0.220411	0.040308	0.160377	0.190394	0.220411	0.040308	-0.019726	0.310462	0.13036	0.190394	0.220411	0.160377																																													
SCOC HOL 22	0.104471	0.220411	0.13036	0.070325	0.100342	0.13036	0.13036	0.13036	0.160377	0.100342	0.190978	0.010291	0.010291	-0.049743	0.070325	-0.019726	-0.019726	0.220411	-0.07976	0.010291	0.160377	0.040308	0.100342	0.010291	0.070325	-0.049743	0.100342																																												
SCOC HOL 23	0.305962	0.250428	0.250428	0.250428	0.250428	0.190394	0.250428	0.160377	0.190394	0.190394	0.231624	0.160377	0.070325	0.280445	0.280445	0.160377	0.220411	0.280445	0.310462	0.13036	0.100342	0.250428	0.100342	0.220411	0.220411	0.160377	0.160377	0.160377																																											
SCOC RAJ 01	0.052873	0.282594	0.184769	0.054337	0.184769	0.249986	0.184769	0.152161	0.34781	0.021729	0.319831	0.086945	0.152161	0.054337	0.217378	0.021729	0.054337	0.217378	0.054337	0.054337	0.217378	0.054337	0.152161	0.119553	0.119553	0.119553	0.249986	-0.043487	0.315202																																										
SCOC RAJ 02	0.171635	0.190394	0.160377	0.040308	0.070325	0.160377	0.160377	0.070325	0.190394	0.070325	0.190978	0.100342	0.100342	0.100342	0.160377	0.010291	0.010291	0.190394	0.040308	0.190394	0.190394	0.220411	0.190394	0.070325	0.100342	0.250428	0.040308	-0.019726	0.220411	0.119553																																									
SCOC RAJ 03	0.037308	0.100342	0.13036	0.040308	0.160377	0.280445	0.13036	0.100342	0.250428	0.070325	0.150332	0.010291	0.100342	0.13036	0.13036	0.100342	-0.139795	0.190394	0.160377	0.160377	0.100342	0.13036	0.220411	0.070325	0.100342	0.310462	0.070325	0.070325	0.280445	-0.010879	-0.169812																																								
SCOC RAJ 04	0.205217	0.280445	0.280445	0.160377	0.250428	0.190394	0.280445	0.310462	0.160377	0.160377	0.312915	0.160377	0.100342	0.040308	0.160377	0.160377	0.310462	0.34048	0.310462	0.070325	0.190394	0.190394	0.250428	0.070325	0.250428	0.070325	0.310462	0.13036	0.160377	0.34781	0.220411	0.310462																																							
SCOC RAJ 05	0.003726	0.220411	0.13036	-0.019726	0.160377	0.070325	0.13036	0.040308	0.070325	0.160377	0.312915	-0.019726	0.220411	0.070325	0.220411	0.13036	0.070325	0.220411	0.070325	0.100342	0.250428	0.13036	0.190394	0.13036	0.190394	0.190394	0.220411	0.100342	0.160377	0.054337	0.040308	0.040308	0.13036																																						
SCOC RAJ 06	0.138053	-0.019726	0.100342	0.13036	0.250428	0.100342	0.100342	0.100342	0.070325	0.160377	0.150332	0.100342	0.160377	0.190394	0.160377	0.13036	0.13036	0.310462	0.370497	-0.019726	0.220411	0.13036	0.100342	-0.019726	0.190394	0.070325	0.280445	0.160377	0.190394	0.282594	0.220411	0.160377	0.220411	0.160377																																					
SCOC RAJ 07	0.07089	0.160377	0.100342	-0.049743	-0.019726	-0.019726	0.100342	0.010291	0.100342	0.13036	0.150332	-0.07976	0.13036	0.040308	0.13036	0.070325	0.070325	0.220411	0.13036	-0.049743	0.250428	-0.049743	0.160377	0.010291	-0.019726	0.040308	0.220411	-0.019726	0.220411	0.054337	0.160377	0.100342	0.13036	0.010291	0.070325																																				
SCOC RAJ 08	0.171635	0.010291	0.190394	0.160377	0.190394	0.310462	0.190394	0.250428	0.13036	0.100342	0.231624	0.010291	0.040308	0.34048	0.190394	0.190394	0.190394	0.400514	0.430531	0.010291	0.160377	0.160377	0.13036	0.070325	0.280445	0.160377	0.160377	0.220411	0.220411	0.315202	0.280445	0.160377	0.220411	0.250428	0.010291	0.250428																																			
SCOC RAJ 10	0.07089	0.190394	0.100342	0.100342	0.13036	0.13036	0.100342	0.190394	0.100342	0.100342	0.312915	-0.019726	0.040308	0.13036	0.160377	0.190394	0.220411	0.250428	0.190394	0.040308	0.160377	0.100342	0.13036	-0.049743	0.190394	0.010291	0.250428	0.070325	0.190394	0.184769	0.13036	0.190394	-0.049743	-0.019726	0.220411	-0.049743	0.220411																																		
SCOC RAJ 11	0.138053	0.160377	0.220411	0.100342	-0.109778	-0.049743	0.220411	0.100342	0.040308	0.13036	0.231624	0.010291	0.160377	0.070325	0.220411	0.070325	0.220411	0.220411	0.190394	0.040308	0.190394	0.070325	0.190394	0.070325	0.220411	-0.019726	0.220411	0.13036	0.310462	0.119553	0.13036	0.13036	0.13036	-0.049743	0.190394	-0.049743	0.250428	0.040308																																	
SCOC RAJ 12	0.205217	-0.07976	0.310462	0.190394	0.160377	0.220411	0.310462	0.250428	0.190394	0.040308	-0.134188	0.190394	0.13036	0.280445	0.160377	0.040308	0.13036	0.100342	0.160377	0.190394	0.100342	0.100342	0.250428	0.100342	0.280445	0.190394	0.010291	0.190394	0.34048	0.315202	0.13036	0.100342	0.190394	0.280445	0.160377	0.250428	0.160377	0.250428	0.160377																																
SCOC RAJ 13	0.171635	0.220411	0.100342	-0.049743	0.040308	0.070325	0.100342	0.040308	0.040308	0.160377	0.27227	0.040308	0.13036	0.13036	0.310462	0.100342	0.220411	0.370497	0.250428	-0.019726	0.250428	0.160377	0.220411	0.13036	0.13036	0.040308	0.250428	0.040308	0.280445	0.119553	0.190394	0.160377	0.160377	0.040308	0.100342	-0.07976	0.160377	0.100342	-0.07976	0.310462																															
SCOC RAJ 14	0.07089	0.280445	0.250428	0.100342	0.13036	0.160377	0.250428	0.100342	0.280445	0.13036	0.312915	0.010291	0.190394	0.190394	0.190394	0.100342	0.190394	0.190394	0.070325	0.160377	0.220411	0.070325	0.100342	0.13036	0.250428	0.250428	0.280445	0.13036	0.190394	0.086945	0.13036	0.13036	0.250428	0.010291	0.370497	0.070325	0.34048	0.160377	-0.019726	0.250428	0.160377																														
SCOC RAJ 15	0.205217	0.13036	0.220411	0.220411	0.190394	0.070325	0.220411	0.100342	0.13036	0.220411	-0.012251	0.070325	0.190394	0.160377	0.190394	0.100342	0.100342	0.040308	0.280445	0.070325	0.040308	0.190394	0.100342	0.070325	0.220411	0.13036	0.190394	0.070325	0.13036	0.249986	0.190394	0.13036	0.160377	0.13036	0.040308	0.100342	0.250428	0.160377	0.070325	0.13036	0.100342	0.250428																													
SCOC RAJ 16	0.113973	0.172543	0.172543	-0.083664	0.236595	0.204569	0.172543	0.140517	-0.019612	0.012414	0.27227	0.076465	0.108491	0.012414	0.076465	0.076465	0.076465	0.172543	0.076465	0.012414	0.140517	0.108491	0.108491	0.076465	-0.051638	0.108491	0.012414	0.04444	0.204569	0.059877	0.076465	0.04444	0.172543	0.012414	0.204569	0.04444	0.236595	0.076465	0.140517	0.076465	0.204569	0.140517	0.204569																												
SCOC RAJ 18	0.138053	0.280445	0.160377	0.220411	0.220411	0.190394	0.160377	0.13036	0.250428	0.13036	0.27227	0.220411	0.160377	0.13036	0.160377	0.190394	0.190394	0.370497	0.310462	0.160377	0.220411	0.34048	0.280445	0.160377	0.13036	0.34048	0.220411	0.220411	0.370497	0.282594	0.13036	0.070325	0.280445	0.220411	0.310462	0.250428	0.280445	0.280445	0.190394	0.250428	0.220411	0.220411	0.34048	0.04444																											
SCOC RAJ 20	0.037308	0.160377	0.070325	-0.049743	0.220411	0.280445	0.070325	0.160377	0.190394	0.070325	0.190978	0.010291	0.100342	0.100342	0.220411	0.040308	0.010291	0.280445	0.100342	0.100342	0.160377	0.070325	0.070325	0.100342	0.040308	0.160377	0.190394	0.040308	0.310462	0.054337	0.070325	0.040308	0.280445	0.070325	0.13036	0.010291	0.250428	0.160377	0.100342	0.220411	0.040308	0.010291	0.160377	0.108491	0.220411																										
SCOC RAJ 22	0.138053	0.010291	0.160377	0.220411	0.13036	0.280445	0.160377	0.220411	0.13036	0.100342	0.190978	0.160377	0.160377	0.220411	0.160377	0.160377	0.250428	0.250428	0.250428	0.070325	0.160377	0.160377	0.13036	0.070325	0.220411	0.040308	0.190394	0.220411	0.220411	0.380418	0.280445	0.310462	0.13036	0.250428	0.13036	0.190394	0.13036	0.13036	0.13036	0.070325	0.100342	0.190394	0.220411	0.204569	0.280445	0.250428																									
SCOC RAJ 33	0.037308	0.100342	0.13036	0.070325	0.040308	0.13036	0.13036	0.13036	0.13036	0.13036	0.109686	0.010291	0.100342	0.040308	0.190394	0.070325	0.040308	0.250428	0.310462	0.070325	0.13036	0.160377	0.220411	0.100342	0.13036	0.13036	0.13036	0.070325	0.280445	0.152161	0.13036	-0.019726	0.220411	0.070325	0.070325	0.100342	0.070325	0.190394	-0.07976	0.13036	0.070325	0.190394	0.070325	0.236595	0.070325	0.160377	0.220411																								
SCOC RAJ 34	0.205217	0.190394	0.100342	0.100342	0.100342	0.160377	0.100342	0.13036	0.040308	0.190394	0.190978	-0.049743	0.13036	0.160377	0.160377	0.13036	0.250428	0.13036	0.040308	-0.07976	0.13036	0.160377	0.010291	0.070325	0.160377	0.040308	0.010291	0.070325	0.13036	0.249986	0.190394	0.220411	0.070325	0.070325	0.220411	-0.049743	0.250428	0.010291	0.070325	0.250428	0.010291	0.010291	0.070325	0.076465	0.280445	0.190394	0.160377	0.190394																							
SCOC RAJ 35	-0.05425	0.090994	0.189493	-0.007505	0.058161	0.15666	0.189493	0.058161	0.189493	-0.007505	0.143806	0.058161	0.090994	0.058161	0.123827	-0.007505	0.025328	0.123827	0.058161	0.025328	0.222326	0.058161	0.090994	0.090994	0.025328	0.123827	0.189493	-0.007505	0.189493	-0.032544	0.058161	0.025328	0.189493	0.025328	0.123827	0.025328	0.15666	0.058161	0.090994	0.123827	0.090994	0.123827	0.189493	-0.041731	0.123827	0.058161	0.090994	0.090994	0.189493																						
SCOC RAJ 36	0.037308	0.250428	0.100342	0.070325	0.250428	0.250428	0.100342	0.190394	0.100342	0.13036	0.190978	0.13036	0.070325	0.100342	0.100342	0.070325	0.190394	0.190394	0.070325	0.040308	0.040308	0.100342	0.040308	0.070325	0.100342	0.13036	0.010291	0.070325	0.13036	-0.010879	0.070325	0.13036	0.13036	0.010291	0.160377	0.100342	0.280445	0.010291	0.100342	0.250428	0.160377	0.070325	0.160377	0.076465	0.250428	0.070325	0.190394	0.190394	-0.019726	0.123827																					
SCOC RAJ 37	0.138053	0.100342	0.100342	0.220411	0.13036	0.310462	0.100342	0.280445	0.100342	0.160377	0.150332	0.13036	0.070325	0.250428	0.100342	0.100342	0.310462	0.220411	0.100342	-0.019726	0.160377	0.220411	0.13036	0.070325	0.280445	0.100342	0.190394	0.100342	0.250428	0.315202	0.280445	0.310462	0.220411	0.220411	0.13036	0.220411	0.070325	0.220411	0.220411	0.190394	0.160377	0.220411	0.250428	0.236595	0.370497	0.160377	0.100342	0.160377	0.070325	0.15666	0.160377																				
SCOC RAJ 38	0.138053	0.100342	0.160377	0.190394	0.010291	0.100342	0.160377	0.190394	0.040308	0.160377	0.109686	0.040308	0.040308	0.100342	0.190394	0.190394	0.220411	0.250428	0.250428	-0.049743	0.13036	0.100342	-0.019726	0.070325	0.160377	-0.019726	0.13036	0.070325	0.070325	0.184769	0.220411	0.250428	0.100342	0.040308	0.13036	0.010291	0.13036	-0.019726	0.070325	0.220411	0.190394	0.160377	0.100342	0.04444	0.280445	0.100342	0.220411	0.13036	0.040308	0.123827	0.100342	0.100342																			
SCOC RAJ 39	0.205217	0.040308	0.280445	0.220411	0.070325	0.160377	0.280445	0.070325	0.280445	0.070325	0.109686	0.220411	0.13036	0.13036	0.310462	0.100342	0.160377	0.400514	0.310462	0.160377	0.310462	0.250428	0.250428	0.220411	0.280445	0.250428	0.190394	0.100342	0.160377	0.249986	0.100342	0.13036	0.160377	0.220411	0.250428	0.160377	0.190394	0.190394	0.100342	0.040308	-0.019726	0.220411	0.280445	0.172543	0.13036	0.250428	0.13036	0.040308	0.250428	0.090994	0.280445	0.250428	0.220411																		
SCOC RAJ 40	0.07089	0.070325	0.100342	0.190394	0.070325	0.100342	0.100342	0.13036	0.160377	0.160377	0.109686	-0.049743	0.070325	0.190394	0.160377	0.190394	0.13036	0.010291	0.190394	0.070325	0.070325	0.160377	0.100342	-0.019726	0.220411	0.070325	0.160377	0.160377	0.070325	0.217378	0.13036	0.100342	0.160377	-0.019726	0.070325	0.070325	0.160377	0.040308	0.010291	0.070325	0.190394	0.13036	0.010291	0.140517	0.220411	0.190394	0.160377	0.040308	0.100342	0.123827	0.13036	0.160377	0.010291	0.220411																	
SCOC RAJ 41	0.205217	0.010291	0.13036	0.250428	-0.019726	0.160377	0.13036	0.310462	0.010291	0.160377	0.27227	0.100342	0.040308	-0.049743	0.190394	0.13036	0.250428	0.220411	0.220411	-0.049743	0.100342	0.220411	-0.049743	0.070325	0.250428	-0.109778	0.040308	0.070325	0.190394	0.119553	0.190394	0.220411	0.13036	0.13036	0.100342	0.13036	0.190394	0.070325	0.010291	0.190394	0.160377	0.250428	0.100342	0.108491	0.250428	0.13036	0.160377	0.070325	0.040308	0.15666	0.070325	0.040308	-0.07976	0.190394	0.070325																
SCOC RAJ 42	0.07089	0.250428	0.13036	0.040308	0.250428	0.13036	0.13036	-0.019726	0.190394	0.040308	0.353561	0.070325	0.13036	0.13036	0.160377	0.040308	0.13036	0.220411	0.220411	0.040308	0.13036	0.100342	0.190394	0.13036	0.100342	0.190394	0.160377	0.13036	0.190394	-0.043487	0.040308	0.010291	0.220411	0.160377	0.220411	0.070325	0.280445	0.190394	0.190394	0.190394	0.250428	0.100342	0.190394	0.012414	0.100342	0.160377	0.280445	0.190394	0.220411	0.058161	0.040308	0.310462	0.13036	0.220411	0.13036	0.250428															
SCOC RAJ 43	-0.029856	0.220411	0.190394	-0.019726	0.13036	0.13036	0.190394	-0.019726	0.13036	0.040308	0.27227	0.100342	0.100342	0.070325	0.190394	0.070325	-0.019726	0.310462	0.190394	0.040308	0.190394	0.100342	0.190394	0.070325	0.070325	0.190394	0.250428	0.070325	0.220411	0.054337	-0.049743	-0.109778	0.250428	-0.019726	0.100342	0.040308	0.190394	0.100342	0.040308	0.250428	0.040308	0.100342	0.190394	0.012414	0.100342	0.040308	0.310462	0.040308	0.250428	0.025328	0.040308	0.280445	0.190394	0.070325	0.13036	0.280445	0.040308														
SCOC RAJ 46	0.07089	0.13036	0.070325	0.100342	0.040308	0.13036	0.070325	0.100342	0.13036	0.13036	0.190978	0.010291	0.040308	0.070325	0.160377	0.100342	0.160377	0.13036	0.13036	-0.019726	0.13036	0.100342	0.13036	0.070325	0.100342	-0.019726	0.160377	0.010291	0.220411	-0.043487	0.190394	0.13036	0.160377	0.13036	0.100342	0.010291	0.070325	0.13036	0.13036	0.13036	0.040308	0.160377	0.190394	0.076465	0.160377	0.13036	0.13036	0.13036	0.100342	-0.106004	0.13036	0.040308	0.070325	0.13036	0.100342	0.040308	0.070325	0.160377													
SCOC RAJ 47	0.27238	0.100342	-0.019726	0.220411	0.100342	0.280445	-0.019726	0.280445	0.220411	0.160377	0.312915	0.070325	-0.049743	0.220411	0.070325	0.13036	0.250428	0.310462	0.070325	0.100342	0.010291	0.13036	0.160377	0.070325	0.220411	0.100342	0.100342	0.070325	0.160377	0.152161	0.13036	0.13036	0.190394	0.190394	0.250428	0.190394	0.13036	0.100342	0.160377	0.160377	0.220411	0.250428	0.220411	0.108491	0.190394	0.13036	0.13036	0.190394	0.100342	0.189493	0.070325	0.070325	0.070325	0.220411	0.070325	0.040308	0.13036	0.220411	0.040308												
SCOC RAJ 48	0.07089	0.13036	0.010291	0.13036	0.13036	0.220411	0.010291	0.220411	0.010291	0.310462	0.190978	0.040308	0.070325	0.160377	0.190394	0.220411	0.190394	0.280445	0.430531	-0.019726	-0.019726	0.34048	0.13036	0.100342	0.160377	0.100342	0.040308	0.160377	0.280445	0.282594	0.220411	0.070325	0.190394	0.190394	0.010291	0.070325	0.13036	0.160377	0.040308	0.250428	-0.07976	0.310462	-0.019726	0.204569	0.100342	0.100342	0.190394	-0.049743	0.010291	0.255159	0.070325	0.13036	0.13036	0.250428	0.100342	-0.049743	0.220411	0.13036	0.13036	0.160377											
SCOC RAJ 49	0.077857	0.236595	0.204569	0.204569	0.300647	0.076465	0.204569	-0.051638	0.04444	0.236595	0.312915	0.140517	0.108491	0.204569	0.204569	0.172543	0.108491	0.204569	0.300647	0.108491	0.172543	0.108491	0.236595	0.140517	0.204569	0.140517	0.300647	0.204569	0.236595	0.234839	0.204569	0.172543	0.268621	0.108491	0.076465	0.108491	0.172543	0.204569	0.204569	0.204569	0.268621	0.268621	0.04444	0.204569	0.300647	0.172543	0.268621	0.204569	0.300647	0.169778	0.172543	0.300647	0.172543	0.268621	0.140517	0.204569	-0.051638	0.140517	0.140517	0.140517	0.140517										
SCOC RAJ 50	0.238798	0.280445	0.190394	0.040308	0.100342	0.010291	0.190394	0.040308	-0.049743	0.190394	0.27227	0.070325	0.070325	0.100342	0.100342	0.010291	0.220411	0.190394	0.100342	-0.049743	0.220411	0.070325	0.13036	0.040308	0.070325	0.010291	0.070325	0.040308	0.100342	0.184769	0.190394	0.250428	0.100342	0.070325	0.070325	-0.049743	0.190394	0.13036	0.100342	0.250428	0.100342	0.13036	0.220411	0.076465	0.250428	0.160377	0.190394	0.100342	-0.07976	0.15666	-0.019726	0.040308	0.040308	0.280445	0.13036	0.040308	0.160377	0.160377	0.070325	0.160377	0.13036	0.172543									
SCOC RAJ 51	0.037308	0.100342	0.040308	0.100342	0.010291	0.040308	0.040308	0.040308	-0.019726	0.100342	0.150332	-0.019726	-0.109778	0.070325	0.100342	0.010291	0.13036	0.190394	0.160377	-0.049743	0.040308	0.100342	0.13036	0.010291	0.100342	0.010291	0.070325	0.010291	0.040308	0.152161	0.010291	-0.019726	0.100342	0.040308	0.010291	0.010291	0.070325	0.010291	-0.049743	0.100342	0.040308	0.190394	0.100342	0.012414	0.13036	0.100342	0.160377	-0.109778	0.100342	0.025328	0.100342	0.040308	-0.019726	0.010291	-0.049743	-0.019726	0.100342	-0.049743	0.040308	0.040308	-0.019726	0.140517	-0.019726								
