"OBJECTID","INPUT_FID","NEAR_FID","DISTANCE"
1,LOM-10,LOM-12,84.483759
2,LOM-10,LOM-11,117.647628
3,LOM-10,LOM-07,1369.382299
4,LOM-10,LOM-06,1448.005737
5,LOM-10,LOM-05,1493.147063
6,LOM-10,LOM-18,1585.541084
7,LOM-10,LOM-08,2326.745644
8,LOM-10,LOM-09,2579.942760
9,LOM-12,LOM-10,84.483759
10,LOM-12,LOM-11,50.108674
11,LOM-12,LOM-07,1294.265370
12,LOM-12,LOM-06,1372.574263
13,LOM-12,LOM-05,1418.557894
14,LOM-12,LOM-18,1510.640891
15,LOM-12,LOM-08,2242.403818
16,LOM-12,LOM-09,2495.542950
17,LOM-11,LOM-10,117.647628
18,LOM-11,LOM-12,50.108674
19,LOM-11,LOM-07,1252.166993
20,LOM-11,LOM-06,1330.716084
21,LOM-11,LOM-05,1376.091377
22,LOM-11,LOM-18,1468.400988
23,LOM-11,LOM-08,2220.657963
24,LOM-11,LOM-09,2473.130729
25,LOM-06,LOM-10,1448.005737
26,LOM-06,LOM-12,1372.574263
27,LOM-06,LOM-11,1330.716084
28,LOM-06,LOM-07,79.273977
29,LOM-06,LOM-05,55.137663
30,LOM-06,LOM-18,139.306891
31,LOM-06,LOM-08,1277.558643
32,LOM-06,LOM-09,1479.080204
33,LOM-05,LOM-10,1493.147063
34,LOM-05,LOM-12,1418.557894
35,LOM-05,LOM-11,1376.091377
36,LOM-05,LOM-07,125.450745
37,LOM-05,LOM-06,55.137663
38,LOM-05,LOM-18,93.004946
39,LOM-05,LOM-08,1286.936613
40,LOM-05,LOM-09,1482.073212
41,LOM-18,LOM-10,1585.541084
42,LOM-18,LOM-12,1510.640891
43,LOM-18,LOM-11,1468.400988
44,LOM-18,LOM-07,216.434991
45,LOM-18,LOM-06,139.306891
46,LOM-18,LOM-05,93.004946
47,LOM-18,LOM-08,1242.755207
48,LOM-18,LOM-09,1427.996534
49,LOM-08,LOM-10,2326.745644
50,LOM-08,LOM-12,2242.403818
51,LOM-08,LOM-11,2220.657963
52,LOM-08,LOM-07,1323.777394
53,LOM-08,LOM-06,1277.558643
54,LOM-08,LOM-05,1286.936613
55,LOM-08,LOM-18,1242.755207
56,LOM-08,LOM-09,255.212269
57,LOM-09,LOM-10,2579.942760
58,LOM-09,LOM-12,2495.542950
59,LOM-09,LOM-11,2473.130729
60,LOM-09,LOM-07,1532.017417
61,LOM-09,LOM-06,1479.080204
62,LOM-09,LOM-05,1482.073212
63,LOM-09,LOM-18,1427.996534
64,LOM-09,LOM-08,255.212269
65,LOM-07,LOM-10,1369.382299
66,LOM-07,LOM-12,1294.265370
67,LOM-07,LOM-11,1252.166993
68,LOM-07,LOM-06,79.273977
69,LOM-07,LOM-05,125.450745
70,LOM-07,LOM-18,216.434991
71,LOM-07,LOM-08,1323.777394
72,LOM-07,LOM-09,1532.017417
