	CNHY_LOM_22	CNHY_LOM_25	CNHY_LOM_26	CNHY_LOM_27	CNHY_LOM_C001	CNHY_LOM_C002	CNHY_LOM_C004	CNHY_LOM_C005	CNHY_LOM_C006	CNHY_LOM_C007	CNHY_LOM_C008	CNHY_LOM_C009	CNHY_LOM_C011	CNHY_LOM_C015	CNHY_LOM_C016	CNHY_LOM_C017	CNHY_LOM_C018	CNHY_LOM_C019	CNHY_LOM_C020	CNHY_LOM_C021	CNHY_LOM_C022	CNHY_LOM_C023	CNHY_LOM_C024	CNHY_LOM_C025	CNHY_LOM_C026	CNHY_LOM_C028	CNHY_LOM_C030	CNHY_LOM_C031	CNHY_LOM_C032	CNHY_LOM_C033	CNHY_LOM_C034	CNHY_LOM_C035	CNHY_LOM_C036	CNHY_LOM_C037	CNHY_LOM_C038	CNHY_LOM_C039	CNHY_LOM_C040	CNHY_LOM_C041	CNHY_LOM_C042	CNHY_LOM_C044	CNHY_LOM_C045	CNHY_LOM_C046	CNHY_LOM_C047	CNHY_LOM_C048	CNHY_LOM_C054	CNHY_LOM_C055	CNHY_LOM_C056	CNHY_LOM_C057	CNHY_LOM_C058	CNHY_LOM_C059	CNHY_LOM_C060
CNHY_LOM_22																																																			
CNHY_LOM_25	0.290319																																																		
CNHY_LOM_26	0.472701	0.107938																																																	
CNHY_LOM_27	0.411907	-0.061884	0.047144																																																
CNHY_LOM_C001	0.472701	0.428006	0.229525	0.273339																																															
CNHY_LOM_C002	0.290319	0.113363	0.290319	-0.105696	0.118671																																														
CNHY_LOM_C004	0.351113	0.067115	0.229525	0.324894	0.428006	0.067115																																													
CNHY_LOM_C005	-0.074444	0.069551	0.290319	-0.105696	0.067115	-0.149507	0.221783																																												
CNHY_LOM_C006	0.168731	0.168731	0.047144	-0.01365	0.107938	0.107938	0.290319	-0.01365																																											
CNHY_LOM_C007	0.411907	0.273339	0.290319	0.015559	0.221783	-0.139109	0.273339	0.067115	0.168731																																										
CNHY_LOM_C008	0.168731	0.067115	0.107938	0.015559	0.118671	-0.035997	0.170227	-0.035997	0.107938	0.221783																																									
CNHY_LOM_C009	0.229525	0.157174	0.047144	0.113363	0.221783	0.069551	0.221783	0.113363	0.229525	0.118671	0.118671																																								
CNHY_LOM_C011	0.290319	0.200986	0.168731	0.157174	-0.035997	0.025739	0.015559	0.069551	0.168731	0.118671	0.015559	0.025739																																							
CNHY_LOM_C015	0.290319	0.229525	-0.01365	0.168731	0.168731	0.107938	0.229525	0.168731	0.229525	-0.01365	0.047144	0.047144	0.047144																																						
CNHY_LOM_C016	0.472701	0.351113	0.290319	0.351113	0.533494	0.229525	0.229525	0.351113	0.351113	0.168731	0.168731	0.168731	0.168731	0.229525																																					
CNHY_LOM_C017	0.229525	0.113363	0.229525	0.025739	0.170227	0.025739	0.324894	0.025739	0.168731	0.118671	0.067115	0.157174	0.113363	-0.01365	0.290319																																				
CNHY_LOM_C018	0.351113	0.157174	0.168731	-0.018072	0.015559	-0.061884	0.221783	0.025739	0.168731	-0.035997	0.067115	0.069551	-0.018072	0.168731	0.351113	-0.105696																																			
CNHY_LOM_C019	0.107938	0.107938	0.229525	0.047144	0.168731	-0.074444	-0.01365	-0.074444	-0.01365	-0.074444	0.047144	-0.074444	-0.01365	0.107938	0.290319	0.107938	0.047144																																		
CNHY_LOM_C020	0.351113	0.244797	0.168731	0.069551	0.428006	0.113363	0.479562	0.157174	0.229525	0.221783	0.067115	0.200986	0.200986	-0.074444	0.411907	0.069551	0.200986	0.168731																																	
