	SCOC_LOM_01	SCOC_LOM_02	SCOC_LOM_03	SCOC_LOM_07	SCOC_LOM_08	SCOC_LOM_09	SCOC_LOM_12	SCOC_LOM_14	SCOC_LOM_15	SCOC_LOM_17	SCOC_LOM_20	SCOC_LOM_21	SCOC_LOM_23	SCOC_LOM_24	SCOC_LOM_25	SCOC_LOM_27	SCOC_LOM_28	SCOC_LOM_29	SCOC_LOM_30	SCOC_LOM_31	SCOC_LOM_32	SCOC_LOM_34	SCOC_LOM_35	SCOC_LOM_36	SCOC_LOM_37	SCOC_LOM_38	SCOC_LOM_39	SCOC_LOM_41	SCOC_LOM_43	SCOC_LOM_44	SCOC_LOM_47	SCOC_LOM_48	SCOC_LOM_49	SCOC_LOM_50	SCOC_LOM_51	SCOC_LOM_52	SCOC_LOM_53	SCOC_LOM_54	SCOC_LOM_55	SCOC_LOM_58	SCOC_LOM_60	SCOC_LOM_61	SCOC_LOM_62	SCOC_LOM_63	SCOC_LOM_64	SCOC_LOM_67	SCOC_LOM_70	SCOC_LOM_71	SCOC_LOM_72	SCOC_LOM_73	SCOC_LOM_C014	SCOC_LOM_C015	SCOC_LOM_C060	SCOC_LOM_C206	SCOC_LOM_C213	SCOC_LOM_C216	SCOC_LOM_C219	SCOC_LOM_C231	SCOC_LOM_C250	SCOC_LOM_C291	SCOC_LOM_C300	SCOC_LOM_C302	SCOC_LOM_C303	SCOC_LOM_C305	SCOC_LOM_C306	SCOC_LOM_C307	SCOC_LOM_C308	SCOC_LOM_C310	SCOC_LOM_C311	SCOC_LOM_C312	SCOC_LOM_C314
SCOC_LOM_01																																																																							
SCOC_LOM_02	0.104979																																																																						
SCOC_LOM_03	0.07473	0.014232																																																																					
SCOC_LOM_07	0.119999	-0.010527	0.119999																																																																				
SCOC_LOM_08	0.202177	-0.169564	-0.086955	0.202177																																																																			
SCOC_LOM_09	0.044481	0.044481	-0.016017	0.217894	-0.004346																																																																		
SCOC_LOM_12	0.256224	-0.046266	0.014232	-0.010527	-0.04565	0.104979																																																																	
SCOC_LOM_14	0.195726	-0.016017	-0.046266	0.087367	-0.086955	0.014232	0.044481																																																																
SCOC_LOM_15	-0.076515	-0.046266	-0.197511	-0.010527	-0.004346	-0.046266	-0.016017	0.014232																																																															
SCOC_LOM_17	0.104979	0.104979	0.07473	0.087367	0.202177	0.07473	0.195726	0.135228	0.104979																																																														
SCOC_LOM_20	-0.046266	-0.016017	0.014232	0.119999	-0.04565	0.07473	0.225975	0.195726	-0.046266	0.316722																																																													
SCOC_LOM_21	0.135228	-0.197511	0.044481	0.119999	-0.04565	-0.016017	0.014232	-0.106764	0.044481	0.07473	0.104979																																																												
SCOC_LOM_23	0.044481	-0.046266	-0.046266	-0.206317	-0.04565	-0.016017	-0.016017	0.014232	-0.258009	0.014232	0.104979	0.044481																																																											
SCOC_LOM_24	0.165477	0.07473	0.044481	0.217894	0.119568	0.014232	0.135228	0.135228	0.104979	0.014232	0.195726	0.044481	0.135228																																																										
SCOC_LOM_25	0.165477	-0.046266	0.104979	0.054736	-0.086955	0.014232	0.195726	0.014232	0.135228	0.195726	-0.046266	-0.106764	0.07473	0.195726																																																									
SCOC_LOM_27	0.07473	0.07473	0.104979	0.022104	0.202177	0.044481	-0.046266	-0.016017	0.044481	0.07473	0.07473	0.014232	0.165477	0.044481	0.135228																																																								
SCOC_LOM_28	0.165477	0.014232	0.135228	0.054736	-0.086955	-0.076515	0.135228	0.104979	0.014232	0.286473	-0.046266	0.044481	0.044481	0.104979	-0.167262	0.07473																																																							
SCOC_LOM_29	0.165477	-0.046266	0.104979	0.152631	-0.004346	0.104979	0.044481	0.07473	0.165477	0.165477	0.135228	0.104979	0.165477	0.135228	0.104979	-0.016017	0.104979																																																						
SCOC_LOM_30	0.165477	-0.016017	0.07473	0.152631	0.036959	0.014232	0.014232	-0.046266	0.104979	0.165477	0.225975	-0.046266	0.07473	0.07473	0.135228	0.135228	0.135228	0.135228																																																					
SCOC_LOM_31	0.165477	0.014232	0.07473	0.022104	-0.004346	0.104979	-0.076515	-0.016017	-0.016017	0.346971	0.225975	0.07473	-0.046266	0.135228	0.165477	0.044481	0.195726	0.044481	-0.046266																																																				
SCOC_LOM_32	0.165477	0.044481	0.044481	0.022104	0.119568	0.195726	-0.046266	0.135228	0.044481	0.256224	0.225975	0.014232	-0.016017	0.014232	0.256224	0.104979	0.225975	0.044481	0.165477	-0.046266																																																			
SCOC_LOM_34	0.225975	0.104979	0.286473	0.054736	0.284786	0.165477	0.07473	0.256224	0.346971	0.225975	0.316722	0.165477	0.165477	0.104979	0.256224	0.07473	0.286473	-0.046266	0.135228	0.07473	-0.016017																																																		
