"OBJECTID","INPUT_FID","NEAR_FID","DISTANCE"
1,SYR-13,SYR-14,115.460212
2,SYR-13,SYR-11,1960.006888
3,SYR-13,SYR-25,2069.934411
4,SYR-13,SYR-09,2910.345539
5,SYR-13,SYR-25,2561.815796
6,SYR-13,SYR-29,2818.260959
7,SYR-13,SYR-08,7092.414208
8,SYR-13,SYR-32,7244.410400
9,SYR-13,SYR-33,7142.408623
10,SYR-14,SYR-13,115.460212
11,SYR-14,SYR-11,1976.637714
12,SYR-14,SYR-25,2080.822077
13,SYR-14,SYR-09,2912.636083
14,SYR-14,SYR-25,2557.620643
15,SYR-14,SYR-29,2801.546279
16,SYR-14,SYR-08,7114.177071
17,SYR-14,SYR-32,7264.150965
18,SYR-14,SYR-33,7162.288053
19,SYR-11,SYR-13,1960.006888
20,SYR-11,SYR-14,1976.637714
21,SYR-11,SYR-25,147.387107
22,SYR-11,SYR-09,989.484995
23,SYR-11,SYR-25,717.202499
24,SYR-11,SYR-29,1081.661805
25,SYR-11,SYR-08,5138.333400
26,SYR-11,SYR-32,5287.564500
27,SYR-11,SYR-33,5185.726597
28,SYR-25,SYR-13,2069.934411
29,SYR-25,SYR-14,2080.822077
30,SYR-25,SYR-11,147.387107
31,SYR-25,SYR-09,856.200040
32,SYR-25,SYR-25,570.493470
33,SYR-25,SYR-29,934.522284
34,SYR-25,SYR-08,5041.726296
35,SYR-25,SYR-32,5188.155194
36,SYR-25,SYR-33,5086.546804
37,SYR-25,SYR-13,2561.815796
38,SYR-25,SYR-14,2557.620643
39,SYR-25,SYR-11,717.202499
40,SYR-25,SYR-25,570.493470
41,SYR-25,SYR-09,383.818296
42,SYR-25,SYR-29,384.562202
43,SYR-25,SYR-08,4644.594718
44,SYR-25,SYR-32,4779.592695
45,SYR-25,SYR-33,4679.286883
46,SYR-09,SYR-13,2910.345539
47,SYR-09,SYR-14,2912.636083
48,SYR-09,SYR-11,989.484995
49,SYR-09,SYR-25,856.200040
50,SYR-09,SYR-25,383.818296
51,SYR-09,SYR-29,482.554013
52,SYR-09,SYR-08,4262.479956
53,SYR-09,SYR-32,4398.823224
54,SYR-09,SYR-33,4298.311802
55,SYR-29,SYR-13,2818.260959
56,SYR-29,SYR-14,2801.546279
57,SYR-29,SYR-11,1081.661805
58,SYR-29,SYR-25,934.522284
59,SYR-29,SYR-09,482.554013
60,SYR-29,SYR-25,384.562202
61,SYR-29,SYR-08,4544.663649
62,SYR-29,SYR-32,4667.769900
63,SYR-29,SYR-33,4569.363663
64,SYR-08,SYR-13,7092.414208
65,SYR-08,SYR-14,7114.177071
66,SYR-08,SYR-11,5138.333400
67,SYR-08,SYR-25,5041.726296
68,SYR-08,SYR-09,4262.479956
69,SYR-08,SYR-25,4644.594718
70,SYR-08,SYR-29,4544.663649
71,SYR-08,SYR-32,197.822465
72,SYR-08,SYR-33,127.983297
73,SYR-33,SYR-13,7142.408623
74,SYR-33,SYR-14,7162.288053
75,SYR-33,SYR-11,5185.726597
76,SYR-33,SYR-25,5086.546804
77,SYR-33,SYR-09,4298.311802
78,SYR-33,SYR-25,4679.286883
79,SYR-33,SYR-29,4569.363663
80,SYR-33,SYR-08,127.983297
81,SYR-33,SYR-32,102.314120
82,SYR-32,SYR-13,7244.410400
83,SYR-32,SYR-14,7264.150965
84,SYR-32,SYR-11,5287.564500
85,SYR-32,SYR-25,5188.155194
86,SYR-32,SYR-09,4398.823224
87,SYR-32,SYR-25,4779.592695
88,SYR-32,SYR-29,4667.769900
89,SYR-32,SYR-08,197.822465
90,SYR-32,SYR-33,102.314120
