	060111TKLD	060111TKLE	060211TKLB	060311TKLJ	060311TKLL	071311TKLD	072611TKLD	072611TKLE	072911TKLB	SCOC SYR 02	SCOC SYR 05	SCOC SYR 07	SCOC SYR 08	SCOC SYR 09	SCOC SYR 10	SCOC SYR 11	SCOC SYR 12	SCOC SYR 13	SCOC SYR 14	SCOC SYR 15	SCOC SYR 16	SCOC SYR 26	SCOC SYR 27	SCOC SYR 39	SCOC SYR 40	SCOC SYR 41	SCOC SYR 42	SCOC SYR 43	SCOC SYR 44	SCOC SYR 46	SCOC SYR 47	SCOC SYR 48	SCOC SYR 50	SCOC SYR 51	SCOC SYR 53	SCOC SYR 56	SCOC SYR 57	SCOC SYR 60	SCOC SYR 61	SCOC SYR 62	SCOC SYR 63	SCOC SYR 64	SCOC SYR 66
060111TKLD																																											
060111TKLE	0.05503																																										
060211TKLB	-0.083727	-0.055976																																									
060311TKLJ	0.05503	0.082782	0.05503																																								
060311TKLL	0.082782	-0.028224	-0.000473	0.166037																																							
071311TKLD	-0.083727	0.05503	0.05503	0.138285	-0.000473																																						
072611TKLD	0.166037	0.110533	0.22154	0.110533	0.110533	0.05503																																					
072611TKLE	-0.028224	-0.028224	0.027279	0.027279	0.05503	-0.028224	0.082782																																				
072911TKLB	-0.028224	-0.028224	-0.083727	0.138285	0.027279	-0.028224	0.110533	0.110533																																			
SCOC SYR 02	-0.055976	-0.028224	0.110533	0.110533	0.027279	-0.083727	0.082782	-0.083727	0.05503																																		
SCOC SYR 05	-0.000473	0.082782	0.166037	0.082782	0.193788	0.05503	0.249291	0.027279	0.05503	-0.055976																																	
SCOC SYR 07	-0.055976	0.138285	0.110533	0.110533	0.110533	-0.055976	0.082782	0.027279	0.05503	0.05503	0.110533																																
SCOC SYR 08	-0.000473	-0.028224	0.027279	0.193788	-0.055976	-0.055976	-0.000473	-0.055976	-0.000473	-0.055976	0.05503	-0.000473																															
SCOC SYR 09	-0.000473	-0.028224	0.027279	0.193788	-0.055976	-0.055976	-0.000473	-0.055976	-0.000473	-0.055976	0.05503	-0.000473	-0.5																														
SCOC SYR 10	0.027279	0.110533	0.138285	0.110533	0.082782	-0.000473	0.138285	0.027279	-0.028224	-0.028224	0.05503	0.138285	0.110533	0.110533																													
SCOC SYR 11	0.05503	0.05503	0.110533	0.166037	0.082782	-0.000473	0.05503	0.027279	0.05503	0.05503	0.193788	0.082782	0.05503	0.05503	-0.028224																												
SCOC SYR 12	-0.055976	0.110533	0.027279	0.05503	0.166037	0.110533	0.082782	-0.000473	-0.028224	0.082782	-0.028224	-0.055976	0.05503	0.05503	0.082782	-0.000473																											
SCOC SYR 13	-0.083727	0.082782	0.027279	-0.000473	0.082782	0.082782	0.05503	-0.000473	0.082782	0.027279	0.166037	0.027279	-0.000473	-0.000473	-0.055976	0.027279	-0.000473																										
SCOC SYR 14	0.027279	0.05503	0.138285	0.166037	0.110533	0.027279	0.05503	0.082782	0.05503	-0.028224	-0.055976	0.110533	0.05503	0.05503	-0.028224	0.082782	0.05503	0.082782																									
SCOC SYR 15	-0.083727	0.138285	0.138285	0.22154	0.05503	-0.000473	0.05503	0.082782	0.027279	-0.083727	0.082782	-0.000473	-0.028224	-0.028224	0.027279	-0.028224	0.027279	0.082782	0.027279																								
SCOC SYR 16	0.05503	0.138285	0.082782	0.166037	0.166037	0.027279	0.193788	0.027279	0.138285	0.138285	0.249291	0.05503	0.110533	0.110533	0.027279	-0.028224	0.110533	-0.055976	0.138285	0.082782																							
