"OBJECTID","INPUT_FID","NEAR_FID","DISTANCE"
1,TP4-07,TP4-03,809.991670
2,TP4-07,TP1-07,1441.678959
3,TP4-07,TP1-08,1452.349060
4,TP4-07,TP1-09,1343.472819
5,TP4-07,TP1-06,1502.558180
6,TP4-07,TP1-04,1574.089832
7,TP4-07,TP1-05,1624.060415
8,TP4-07,TP1-03,1469.833741
9,TP4-07,TP1-10,1278.398371
10,TP4-07,TP1-02,1509.496574
11,TP4-07,TP1-01,1427.183066
12,TP4-07,TP4-02,1385.326976
13,TP4-07,TP3-03,2409.638386
14,TP4-07,TP4-01,1596.261956
15,TP4-07,TP3-05,2465.160909
16,TP4-07,TP3-06,2416.855541
17,TP4-07,TP3-02,2358.141147
18,TP4-07,TP3-04,2389.835911
19,TP4-07,TP3-01,2322.327220
20,TP4-07,TP4-06,1822.972052
21,TP4-07,TP3-07,2414.015962
22,TP4-07,TP4-04,1894.770736
23,TP4-07,TP4-05,1963.526265
24,TP4-07,TP3-09,2608.834857
25,TP4-07,TP3-08,2505.649345
26,TP4-07,TP3-10,2682.215768
27,TP4-07,TP3-14,2383.924994
28,TP4-07,TP3-13,2345.778724
29,TP4-07,TP3-12,2479.664028
30,TP4-07,TP3-15,2328.932081
31,TP4-07,TP3-11,2767.429147
32,TP4-03,TP4-07,809.991670
33,TP4-03,TP1-07,640.806460
34,TP4-03,TP1-08,657.467556
35,TP4-03,TP1-09,542.418739
36,TP4-03,TP1-06,696.650642
37,TP4-03,TP1-04,765.541225
38,TP4-03,TP1-05,818.115988
39,TP4-03,TP1-03,660.392502
40,TP4-03,TP1-10,473.850457
41,TP4-03,TP1-02,704.091998
42,TP4-03,TP1-01,627.853602
43,TP4-03,TP4-02,689.552862
44,TP4-03,TP3-03,1600.562221
45,TP4-03,TP4-01,911.792222
46,TP4-03,TP3-05,1658.761665
47,TP4-03,TP3-06,1612.526897
48,TP4-03,TP3-02,1554.298937
49,TP4-03,TP3-04,1583.505973
50,TP4-03,TP3-01,1517.982899
51,TP4-03,TP4-06,1102.465266
52,TP4-03,TP3-07,1615.047027
53,TP4-03,TP4-04,1181.799921
54,TP4-03,TP4-05,1248.095558
55,TP4-03,TP3-09,1829.353368
56,TP4-03,TP3-08,1726.059089
57,TP4-03,TP3-10,1902.721213
58,TP4-03,TP3-14,1654.100035
59,TP4-03,TP3-13,1627.326643
60,TP4-03,TP3-12,1754.783499
61,TP4-03,TP3-15,1637.217633
62,TP4-03,TP3-11,2014.210718
63,TP1-08,TP4-07,1452.349060
64,TP1-08,TP4-03,657.467556
65,TP1-08,TP1-07,44.103774
66,TP1-08,TP1-09,119.499743
67,TP1-08,TP1-06,103.157008
68,TP1-08,TP1-04,179.969019
69,TP1-08,TP1-05,193.735354
70,TP1-08,TP1-03,153.747827
71,TP1-08,TP1-10,322.577419
72,TP1-08,TP1-02,303.833790
73,TP1-08,TP1-01,340.649193
74,TP1-08,TP4-02,691.462588
75,TP1-08,TP3-03,1007.472372
76,TP1-08,TP4-01,822.246244
77,TP1-08,TP3-05,1085.343199
78,TP1-08,TP3-06,1052.875606
79,TP1-08,TP3-02,999.860471
80,TP1-08,TP3-04,1013.219564
81,TP1-08,TP3-01,962.533250
82,TP1-08,TP4-06,871.017692
83,TP1-08,TP3-07,1080.716870
84,TP1-08,TP4-04,946.816422
85,TP1-08,TP4-05,992.776384
86,TP1-08,TP3-09,1348.967681
87,TP1-08,TP3-08,1251.502895
88,TP1-08,TP3-10,1418.458967
89,TP1-08,TP3-14,1306.564665
90,TP1-08,TP3-13,1306.259552
91,TP1-08,TP3-12,1407.496749
92,TP1-08,TP3-15,1366.358080
93,TP1-08,TP3-11,1588.094346
94,TP1-09,TP4-07,1343.472819
95,TP1-09,TP4-03,542.418739
96,TP1-09,TP1-07,98.524776
97,TP1-09,TP1-08,119.499743
98,TP1-09,TP1-06,163.236674
99,TP1-09,TP1-04,242.889362
100,TP1-09,TP1-05,282.665162
101,TP1-09,TP1-03,159.546668
102,TP1-09,TP1-10,224.874718
103,TP1-09,TP1-02,289.368929
104,TP1-09,TP1-01,290.520907
105,TP1-09,TP4-02,616.558687
106,TP1-09,TP3-03,1092.567430
107,TP1-09,TP4-01,771.317726
108,TP1-09,TP3-05,1164.086679
109,TP1-09,TP3-06,1126.820995
110,TP1-09,TP3-02,1071.652057
111,TP1-09,TP3-04,1090.404551
112,TP1-09,TP3-01,1034.315217
113,TP1-09,TP4-06,852.158272
114,TP1-09,TP3-07,1146.810397
115,TP1-09,TP4-04,931.256895
116,TP1-09,TP4-05,983.166237
117,TP1-09,TP3-09,1401.630022
118,TP1-09,TP3-08,1301.683386
119,TP1-09,TP3-10,1472.727109
120,TP1-09,TP3-14,1324.625662
121,TP1-09,TP3-13,1318.026541
122,TP1-09,TP3-12,1426.749426
123,TP1-09,TP3-15,1367.498401
124,TP1-09,TP3-11,1628.340636
125,TP1-07,TP4-07,1441.678959
126,TP1-07,TP4-03,640.806460
127,TP1-07,TP1-08,44.103774
128,TP1-07,TP1-09,98.524776
129,TP1-07,TP1-06,76.463981
130,TP1-07,TP1-04,158.728818
131,TP1-07,TP1-05,187.646992
132,TP1-07,TP1-03,112.751818
133,TP1-07,TP1-10,282.618055
134,TP1-07,TP1-02,262.776968
135,TP1-07,TP1-01,296.660541
136,TP1-07,TP4-02,647.509811
137,TP1-07,TP3-03,1001.723875
138,TP1-07,TP4-01,778.734332
139,TP1-07,TP3-05,1076.344936
140,TP1-07,TP3-06,1041.517897
141,TP1-07,TP3-02,987.443999
142,TP1-07,TP3-04,1003.386086
143,TP1-07,TP3-01,950.071275
144,TP1-07,TP4-06,831.327682
145,TP1-07,TP3-07,1065.835503
146,TP1-07,TP4-04,907.782248
147,TP1-07,TP4-05,954.891241
148,TP1-07,TP3-09,1328.894313
149,TP1-07,TP3-08,1230.430839
150,TP1-07,TP3-10,1399.041263
151,TP1-07,TP3-14,1275.376754
152,TP1-07,TP3-13,1273.430459
153,TP1-07,TP3-12,1376.706388
154,TP1-07,TP3-15,1331.041179
155,TP1-07,TP3-11,1563.769857
156,TP1-06,TP4-07,1502.558180
157,TP1-06,TP4-03,696.650642
158,TP1-06,TP1-07,76.463981
159,TP1-06,TP1-08,103.157008
160,TP1-06,TP1-09,163.236674
161,TP1-06,TP1-04,82.463247
162,TP1-06,TP1-05,121.569443
163,TP1-06,TP1-03,72.563778
164,TP1-06,TP1-10,295.186000
