	052912TKLA	060512TKLC	060712TKLA	060712TKLF	060712TKLH	060712TKLJ	060812TKLA	061212TKLA	061412TKLA	061412TKLB	061512TKLB	061512TKLD	062612TKLC	062612TKLD	062712TKLA	062712TKLB	062712TKLC	062712TKLD	062712TKLE	062712TKLG	062712TKLH	062712TKLI	062812TKLC	071012TKLA	071112TKLA	071112TKLE	071212TKLA	072412TKLA	072512TKLB	CNHY TP1 02	CNHY TP1 03	CNHY TP1 04	CNHY TP1 05	CNHY TP1 06	CNHY TP1 07	CNHY TP1 08	CNHY TP1 09	CNHY TP1 10	CNHY TP1 11	CNHY TP1 12	CNHY TP1 13	CNHY TP1 14	CNHY TP1 15	CNHY TP1 16	CNHY TP1 17	CNHY TP3 01	CNHY TP3 02	CNHY TP3 05	CNHY TP3 07	CNHY TP3 10	CNHY TP3 12	CNHY TP3 13	CNHY TP3 15	CNHY TP3 16	CNHY TP3 17	CNHY TP3 18	CNHY TP3 20	CNHY TP3 21	CNHY TP3 23	CNHY TP3 25	CNHY TP3 26	CNHY TP3 28	CNHY TP3 30	CNHY TP3 31
052912TKLA																																																																
060512TKLC	0.03684																																																															
060712TKLA	0.03684	0.03684																																																														
060712TKLF	0.03684	0.126314	0.17105																																																													
060712TKLH	-0.052633	-0.052633	-0.142107	-0.007897																																																												
060712TKLJ	-0.007897	-0.142107	-0.007897	-0.052633	-0.007897																																																											
060812TKLA	-0.131867	-0.070512	-0.070512	0.236266	-0.131867	0.113555																																																										
061212TKLA	0.260524	0.081577	0.126314	-0.007897	-0.052633	0.17105	0.17491																																																									
061412TKLA	0.126314	-0.052633	0.126314	0.17105	0.03684	0.126314	-0.131867	0.03684																																																								
061412TKLB	-0.007897	-0.09737	0.126314	0.081577	0.081577	-0.007897	-0.070512	0.126314	-0.052633																																																							
061512TKLB	0.081577	0.03684	-0.186843	0.081577	-0.052633	-0.007897	-0.131867	-0.142107	0.03684	0.03684																																																						
061512TKLD	-0.007897	-0.007897	-0.052633	0.126314	0.03684	-0.007897	-0.009156	0.215787	0.03684	0.081577	0.081577																																																					
