	060612TKLC	060712TKLB	060712TKLC	060712TKLG	060712TKLI	061312TKLA	062612TKLB	062712TKLF	062812TKLA	062812TKLB	071112TKLC	SCOC TP1 01	SCOC TP1 03	SCOC TP1 05	SCOC TP1 07	SCOC TP1 08	SCOC TP1 09	SCOC TP1 10	SCOC TP1 11	SCOC TP1 12	SCOC TP1 19	SCOC TP3 03	SCOC TP3 04	SCOC TP3 05	SCOC TP3 07	SCOC TP3 08	SCOC TP3 09	SCOC TP3 10	SCOC TP3 11	SCOC TP3 12	SCOC TP3 13	SCOC TP3 14	SCOC TP3 15	SCOC TP3 16	SCOC TP3 18	SCOC TP3 19	SCOC TP3 23	SCOC TP3 24	SCOC TP3 25	SCOC TP3 26	SCOC TP3 27	SCOC TP3 30	SCOC TP3 31	SCOC TP3 32	SCOC TP3 33	SCOC TP3 34	SCOC TP3 35	SCOC TP3 36	SCOC TP3 37	SCOC TP3 39	SCOC TP3 40	SCOC TP3 41	SCOC TP3 42	SCOC TP3 44	SCOC TP3 45	SCOC TP3 46	SCOC TP3 47	SCOC TP3 48	SCOC TP3 49	SCOC TP3 50	SCOC TP3 52	SCOC TP3 53	SCOC TP3 54	SCOC TP3 55	SCOC TP3 57	SCOC TP3 58	SCOC TP3 60	SCOC TP3 61	SCOC TP3 62	SCOC TP3 63	SCOC TP3 64	SCOC TP3 65	SCOC TP3 66	SCOC TP3 67	SCOC TP3 68	SCOC TP3 70	SCOC TP3 71
060612TKLC																																																																													
060712TKLB	0.04507																																																																												
060712TKLC	0.131134	-0.012306																																																																											
060712TKLG	0.04807	0.04807	0.015831																																																																										
060712TKLI	-0.012306	-0.069682	-0.012306	0.241507																																																																									
061312TKLA	0.144789	0.08031	0.177028	0.177028	0.015831																																																																								
062612TKLB	0.102446	0.131134	0.131134	0.209268	0.073758	0.112549																																																																							
062712TKLF	-0.127058	-0.040994	0.073758	-0.048648	-0.012306	0.08031	0.102446																																																																						
062812TKLA	0.016382	0.016382	0.159821	0.209268	-0.069682	-0.016409	0.016382	-0.012306																																																																					
062812TKLB	0.016382	0.04507	0.04507	0.112549	-0.012306	0.177028	0.073758	0.016382	-0.012306																																																																				
071112TKLC	0.073758	0.159821	0.102446	0.04807	0.102446	-0.145366	0.102446	-0.069682	0.016382	0.131134																																																																			
SCOC TP1 01	0.04507	-0.012306	0.131134	0.241507	-0.040994	0.015831	0.102446	0.016382	-0.040994	-0.012306	0.131134																																																																		
SCOC TP1 03	0.131134	0.102446	0.016382	0.209268	0.073758	0.370465	0.274573	0.102446	0.159821	-0.09837	0.217197	0.303261																																																																	
SCOC TP1 05	0.188509	0.016382	0.102446	0.209268	0.073758	-0.048648	0.274573	0.016382	0.016382	0.217197	-0.09837	0.073758	0.217197																																																																
SCOC TP1 07	0.159821	0.131134	0.245885	0.209268	-0.012306	0.04807	0.188509	0.073758	0.04507	0.04507	0.159821	0.102446	0.188509	0.217197																																																															
SCOC TP1 08	0.102446	0.102446	0.016382	0.241507	0.102446	0.04807	0.188509	0.131134	0.188509	-0.040994	0.102446	0.04507	0.159821	0.073758	0.274573																																																														
SCOC TP1 09	-0.040994	0.04507	0.073758	-0.048648	0.073758	0.015831	0.04507	-0.09837	0.016382	0.016382	0.131134	0.016382	0.102446	-0.012306	0.073758	0.159821																																																													
SCOC TP1 10	0.102446	0.102446	0.188509	0.241507	0.073758	0.08031	0.073758	0.073758	0.04507	0.073758	0.102446	0.04507	0.188509	0.188509	0.159821	0.131134	0.073758																																																												
