"OBJECTID","array","ylatitude","xlongitude"
1,"TP4-07",32.908840,-117.236020
2,"TP4-03",32.912330,-117.243630
3,"TP1-08",32.913561,-117.250508
4,"TP1-09",32.913603,-117.249231
5,"TP1-07",32.913883,-117.250231
6,"TP1-06",32.914486,-117.250628
7,"TP1-03",32.914883,-117.250011
8,"TP1-05",32.914908,-117.251828
9,"TP1-10",32.915047,-117.247542
10,"TP1-04",32.915097,-117.251131
11,"TP1-01",32.916164,-117.248572
12,"TP1-02",32.916194,-117.249606
13,"TP4-02",32.918300,-117.245700
14,"TP3-03",32.919953,-117.258167
15,"TP4-01",32.920180,-117.246540
16,"TP3-01",32.920553,-117.256611
17,"TP3-04",32.920569,-117.257464
18,"TP3-02",32.920814,-117.256864
19,"TP3-05",32.920936,-117.258142
20,"TP3-06",32.921050,-117.257433
21,"TP4-06",32.921280,-117.248770
22,"TP3-07",32.921717,-117.256839
23,"TP4-04",32.922000,-117.248950
24,"TP4-05",32.922470,-117.249430
25,"TP3-08",32.923825,-117.256081
26,"TP3-09",32.924486,-117.256861
27,"TP3-10",32.924950,-117.257422
28,"TP3-14",32.925222,-117.252536
29,"TP3-13",32.925294,-117.251794
30,"TP3-15",32.925886,-117.250578
31,"TP3-12",32.926097,-117.252892
32,"TP3-11",32.927031,-117.256289
