"OBJECTID","INPUT_FID","NEAR_FID","DISTANCE"
1,1,2,85.892399
2,1,4,2381.665021
3,1,3,2405.434165
4,1,6,4786.420806
5,1,5,4791.371268
6,2,1,85.892399
7,2,4,2309.638262
8,2,3,2334.499677
9,2,6,4704.150781
10,2,5,4709.287196
11,3,2,2334.499677
12,3,1,2405.434165
13,3,4,59.293907
14,3,6,2588.061072
15,3,5,2583.221704
16,4,2,2309.638262
17,4,1,2381.665021
18,4,3,59.293907
19,4,6,2579.596119
20,4,5,2575.562565
21,5,2,4709.287196
22,5,1,4791.371268
23,5,4,2575.562565
24,5,3,2583.221704
25,5,6,35.690185
26,6,2,4704.150781
27,6,1,4786.420806
28,6,4,2579.596119
29,6,3,2588.061072
30,6,5,35.690185
