"OBJECTID","INPUT_FID","NEAR_FID","DISTANCE"
1,1,2,83.902445
2,1,3,2265.208613
3,1,4,2685.030905
4,1,5,2546.620570
5,1,6,2802.687717
6,1,7,3265.882895
7,2,1,83.902445
8,2,3,2316.711720
9,2,4,2734.581758
10,2,5,2488.087338
11,2,6,2745.238832
12,2,7,3305.122558
13,3,1,2265.208613
14,3,2,2316.711720
15,3,4,425.132326
16,3,5,3162.491241
17,3,6,3312.526753
18,3,7,1103.285686
19,4,1,2685.030905
20,4,2,2734.581758
21,4,3,425.132326
22,4,5,3378.343231
23,4,6,3503.599639
24,4,7,720.137422
25,5,1,2546.620570
26,5,2,2488.087338
27,5,3,3162.491241
28,5,4,3378.343231
29,5,6,260.940811
30,5,7,3471.796280
31,6,1,2802.687717
32,6,2,2745.238832
33,6,3,3312.526753
34,6,4,3503.599639
35,6,5,260.940811
36,6,7,3547.413482
37,7,1,3265.882895
38,7,2,3305.122558
39,7,3,1103.285686
40,7,4,720.137422
41,7,5,3471.796280
42,7,6,3547.413482
