"OBJECTID","INPUT_FID","NEAR_FID","DISTANCE"
1,1,2,84.483759
2,1,3,117.647628
3,1,4,1448.005737
4,1,5,1493.147063
5,1,6,1585.541084
6,1,7,2326.745644
7,1,8,2579.942760
8,2,1,84.483759
9,2,3,50.108674
10,2,4,1372.574263
11,2,5,1418.557894
12,2,6,1510.640891
13,2,7,2242.403818
14,2,8,2495.542950
15,3,1,117.647628
16,3,2,50.108674
17,3,4,1330.716084
18,3,5,1376.091377
19,3,6,1468.400988
20,3,7,2220.657963
21,3,8,2473.130729
22,4,1,1448.005737
23,4,2,1372.574263
24,4,3,1330.716084
25,4,5,55.137663
26,4,6,139.306891
27,4,7,1277.558643
28,4,8,1479.080204
29,5,1,1493.147063
30,5,2,1418.557894
31,5,3,1376.091377
32,5,4,55.137663
33,5,6,93.004946
34,5,7,1286.936613
35,5,8,1482.073212
36,6,1,1585.541084
37,6,2,1510.640891
38,6,3,1468.400988
39,6,4,139.306891
40,6,5,93.004946
41,6,7,1242.755207
42,6,8,1427.996534
43,7,1,2326.745644
44,7,2,2242.403818
45,7,3,2220.657963
46,7,4,1277.558643
47,7,5,1286.936613
48,7,6,1242.755207
49,7,8,255.212269
50,8,1,2579.942760
51,8,2,2495.542950
52,8,3,2473.130729
53,8,4,1479.080204
54,8,5,1482.073212
55,8,6,1427.996534
56,8,7,255.212269
