"OBJECTID","INPUT_FID","NEAR_FID","DISTANCE"
1,1,2,115.460212
2,1,3,1960.006888
3,1,4,2069.934411
4,1,6,2910.345539
5,1,5,2561.815796
6,1,7,2818.260959
7,1,8,7092.414208
8,1,10,7244.410400
9,1,9,7142.408623
10,2,1,115.460212
11,2,3,1976.637714
12,2,4,2080.822077
13,2,6,2912.636083
14,2,5,2557.620643
15,2,7,2801.546279
16,2,8,7114.177071
17,2,10,7264.150965
18,2,9,7162.288053
19,3,1,1960.006888
20,3,2,1976.637714
21,3,4,147.387107
22,3,6,989.484995
23,3,5,717.202499
24,3,7,1081.661805
25,3,8,5138.333400
26,3,10,5287.564500
27,3,9,5185.726597
28,4,1,2069.934411
29,4,2,2080.822077
30,4,3,147.387107
31,4,6,856.200040
32,4,5,570.493470
33,4,7,934.522284
34,4,8,5041.726296
35,4,10,5188.155194
36,4,9,5086.546804
37,5,1,2561.815796
38,5,2,2557.620643
39,5,3,717.202499
40,5,4,570.493470
41,5,6,383.818296
42,5,7,384.562202
43,5,8,4644.594718
44,5,10,4779.592695
45,5,9,4679.286883
46,6,1,2910.345539
47,6,2,2912.636083
48,6,3,989.484995
49,6,4,856.200040
50,6,5,383.818296
51,6,7,482.554013
52,6,8,4262.479956
53,6,10,4398.823224
54,6,9,4298.311802
55,7,1,2818.260959
56,7,2,2801.546279
57,7,3,1081.661805
58,7,4,934.522284
59,7,6,482.554013
60,7,5,384.562202
61,7,8,4544.663649
62,7,10,4667.769900
63,7,9,4569.363663
64,8,1,7092.414208
65,8,2,7114.177071
66,8,3,5138.333400
67,8,4,5041.726296
68,8,6,4262.479956
69,8,5,4644.594718
70,8,7,4544.663649
71,8,10,197.822465
72,8,9,127.983297
73,9,1,7142.408623
74,9,2,7162.288053
75,9,3,5185.726597
76,9,4,5086.546804
77,9,6,4298.311802
78,9,5,4679.286883
79,9,7,4569.363663
80,9,8,127.983297
81,9,10,102.314120
82,10,1,7244.410400
83,10,2,7264.150965
84,10,3,5287.564500
85,10,4,5188.155194
86,10,6,4398.823224
87,10,5,4779.592695
88,10,7,4667.769900
89,10,8,197.822465
90,10,9,102.314120
