"OBJECTID","INPUT_FID","NEAR_FID","DISTANCE"
1,1,2,809.991670
2,1,5,1441.678959
3,1,3,1452.349060
4,1,4,1343.472819
5,1,6,1502.558180
6,1,10,1574.089832
7,1,8,1624.060415
8,1,7,1469.833741
9,1,9,1278.398371
10,1,12,1509.496574
11,1,11,1427.183066
12,1,13,1385.326976
13,1,14,2409.638386
14,1,15,1596.261956
15,1,19,2465.160909
16,1,20,2416.855541
17,1,18,2358.141147
18,1,17,2389.835911
19,1,16,2322.327220
20,1,21,1822.972052
21,1,22,2414.015962
22,1,23,1894.770736
23,1,24,1963.526265
24,1,26,2608.834857
25,1,25,2505.649345
26,1,27,2682.215768
27,1,28,2383.924994
28,1,29,2345.778724
29,1,31,2479.664028
30,1,30,2328.932081
31,1,32,2767.429147
32,2,1,809.991670
33,2,5,640.806460
34,2,3,657.467556
35,2,4,542.418739
36,2,6,696.650642
37,2,10,765.541225
38,2,8,818.115988
39,2,7,660.392502
40,2,9,473.850457
41,2,12,704.091998
42,2,11,627.853602
43,2,13,689.552862
44,2,14,1600.562221
45,2,15,911.792222
46,2,19,1658.761665
47,2,20,1612.526897
48,2,18,1554.298937
49,2,17,1583.505973
50,2,16,1517.982899
51,2,21,1102.465266
52,2,22,1615.047027
53,2,23,1181.799921
54,2,24,1248.095558
55,2,26,1829.353368
56,2,25,1726.059089
57,2,27,1902.721213
58,2,28,1654.100035
59,2,29,1627.326643
60,2,31,1754.783499
61,2,30,1637.217633
62,2,32,2014.210718
63,3,1,1452.349060
64,3,2,657.467556
65,3,5,44.103774
66,3,4,119.499743
67,3,6,103.157008
68,3,10,179.969019
69,3,8,193.735354
70,3,7,153.747827
71,3,9,322.577419
72,3,12,303.833790
73,3,11,340.649193
74,3,13,691.462588
75,3,14,1007.472372
76,3,15,822.246244
77,3,19,1085.343199
78,3,20,1052.875606
79,3,18,999.860471
80,3,17,1013.219564
81,3,16,962.533250
82,3,21,871.017692
83,3,22,1080.716870
84,3,23,946.816422
85,3,24,992.776384
86,3,26,1348.967681
87,3,25,1251.502895
88,3,27,1418.458967
89,3,28,1306.564665
90,3,29,1306.259552
91,3,31,1407.496749
92,3,30,1366.358080
93,3,32,1588.094346
94,4,1,1343.472819
95,4,2,542.418739
96,4,5,98.524776
97,4,3,119.499743
98,4,6,163.236674
99,4,10,242.889362
100,4,8,282.665162
101,4,7,159.546668
102,4,9,224.874718
103,4,12,289.368929
104,4,11,290.520907
105,4,13,616.558687
106,4,14,1092.567430
107,4,15,771.317726
108,4,19,1164.086679
109,4,20,1126.820995
110,4,18,1071.652057
111,4,17,1090.404551
112,4,16,1034.315217
113,4,21,852.158272
114,4,22,1146.810397
115,4,23,931.256895
116,4,24,983.166237
117,4,26,1401.630022
118,4,25,1301.683386
119,4,27,1472.727109
120,4,28,1324.625662
121,4,29,1318.026541
122,4,31,1426.749426
123,4,30,1367.498401
124,4,32,1628.340636
125,5,1,1441.678959
126,5,2,640.806460
127,5,3,44.103774
128,5,4,98.524776
129,5,6,76.463981
130,5,10,158.728818
131,5,8,187.646992
132,5,7,112.751818
133,5,9,282.618055
134,5,12,262.776968
135,5,11,296.660541
136,5,13,647.509811
137,5,14,1001.723875
138,5,15,778.734332
139,5,19,1076.344936
140,5,20,1041.517897
141,5,18,987.443999
142,5,17,1003.386086
143,5,16,950.071275
144,5,21,831.327682
145,5,22,1065.835503
146,5,23,907.782248
147,5,24,954.891241
148,5,26,1328.894313
149,5,25,1230.430839
150,5,27,1399.041263
151,5,28,1275.376754
152,5,29,1273.430459
153,5,31,1376.706388
154,5,30,1331.041179
155,5,32,1563.769857
156,6,1,1502.558180
157,6,2,696.650642
158,6,5,76.463981
159,6,3,103.157008
160,6,4,163.236674
161,6,10,82.463247
162,6,8,121.569443
163,6,7,72.563778
164,6,9,295.186000
165,6,12,212.096183
166,6,11,267.513078
167,6,13,625.381548
168,6,14,929.643125
169,6,15,737.946077
170,6,19,1002.451321
171,6,20,966.634647
172,6,18,912.204354
173,6,17,929.150319
174,6,16,874.832167
175,6,21,772.955045
176,6,22,989.882130
177,6,23,847.644578
178,6,24,892.161357
179,6,26,1252.449312
180,6,25,1154.054132
181,6,27,1322.578560
182,6,28,1203.482844
183,6,29,1203.118376
184,6,31,1304.479067
185,6,30,1263.806129
186,6,32,1488.051316
187,7,1,1469.833741
188,7,2,660.392502
189,7,5,112.751818
190,7,3,153.747827
191,7,4,159.546668
192,7,6,72.563778
193,7,10,107.380162
194,7,8,169.923079
195,7,9,231.581024
196,7,12,150.189373
197,7,11,195.632083
198,7,13,553.155825
199,7,14,947.358505
200,7,15,670.941389
201,7,19,1014.050102
202,7,20,974.171570
203,7,18,918.100851
204,7,17,939.668301
205,7,16,880.875341
206,7,21,718.597965
207,7,22,990.745695
208,7,23,795.198798
209,7,24,842.842777
210,7,26,1242.398740
211,7,25,1142.279498
212,7,27,1313.644974
213,7,28,1170.237878
214,7,29,1166.135628
215,7,31,1272.027224
216,7,30,1220.937899
217,7,32,1469.086544
218,8,1,1624.060415
219,8,2,818.115988
220,8,5,187.646992
221,8,3,193.735354
222,8,4,282.665162
223,8,6,121.569443
224,8,10,68.458768
225,8,7,169.923079
226,8,9,401.062671
227,8,12,251.977642
228,8,11,334.782762
229,8,13,685.364425
230,8,14,814.932667
231,8,15,765.544613
232,8,19,891.693616
233,8,20,859.235846
234,8,18,806.478489
235,8,17,819.488889
236,8,16,769.179928
237,8,21,762.070836
238,8,22,888.434995
239,8,23,830.992356
240,8,24,867.785707
241,8,26,1161.421448
242,8,25,1065.520144
243,8,27,1230.000498
244,8,28,1145.318929
245,8,29,1151.390466
246,8,31,1244.389380
247,8,30,1222.614083
248,8,32,1407.186538
249,9,1,1278.398371
250,9,2,473.850457
251,9,5,282.618055
252,9,3,322.577419
253,9,4,224.874718
254,9,6,295.186000
255,9,10,335.638318
256,9,8,401.062671
257,9,7,231.581024
258,9,12,231.118146
259,9,11,156.874297
260,9,13,399.644205
261,9,14,1132.602978
262,9,15,576.702350
263,9,19,1186.824619
264,9,20,1139.384321
265,9,18,1080.964017
266,9,17,1111.504474
267,9,16,1044.818671
268,9,21,700.461414
269,9,22,1141.239745
270,9,23,781.967246
271,9,24,841.631189
272,9,26,1361.683722
273,9,25,1258.739365
274,9,27,1434.795099
275,9,28,1220.822021
276,9,29,1203.536368
277,9,31,1323.194021
278,9,30,1234.680377
279,9,32,1560.090255
280,10,1,1574.089832
281,10,2,765.541225
282,10,5,158.728818
283,10,3,179.969019
284,10,4,242.889362
285,10,6,82.463247
286,10,8,68.458768
287,10,7,107.380162
288,10,9,335.638318
289,10,12,187.411695
290,10,11,266.920786
291,10,13,619.649734
292,10,14,850.071163
293,10,15,708.382320
294,10,19,921.276877
295,10,20,884.731263
296,10,18,830.079951
297,10,17,847.725141
298,10,16,792.711944
299,10,21,720.116463
300,10,22,907.436847
301,10,23,791.967969
302,10,24,832.696618
303,10,26,1170.652470
304,10,25,1072.579167
305,10,27,1240.608517
306,10,28,1130.113112
307,10,29,1132.132106
308,10,31,1230.519645
309,10,30,1197.179606
310,10,32,1408.156929
311,11,1,1427.183066
312,11,2,627.853602
313,11,5,296.660541
314,11,3,340.649193
315,11,4,290.520907
316,11,6,267.513078
317,11,10,266.920786
318,11,8,334.782762
319,11,7,195.632083
320,11,9,156.874297
321,11,12,96.741011
322,11,13,358.032293
323,11,14,990.622368
324,11,15,484.057858
325,11,19,1039.499631
326,11,20,989.870873
327,11,18,931.052535
328,11,17,964.228543
329,11,16,895.401644
330,11,21,567.458691
331,11,22,988.161636
332,11,23,647.940082
333,11,24,703.667462
334,11,26,1204.907642
335,11,25,1101.925731
336,11,27,1278.050885
337,11,28,1070.381377
338,11,29,1056.028597
339,11,31,1172.910072
340,11,30,1093.973882
341,11,32,1404.255680
342,12,1,1509.496574
343,12,2,704.091998
344,12,5,262.776968
345,12,3,303.833790
346,12,4,289.368929
347,12,6,212.096183
348,12,10,187.411695
349,12,8,251.977642
350,12,7,150.189373
351,12,9,231.118146
352,12,11,96.741011
353,12,13,433.471328
354,12,14,902.451719
355,12,15,526.732884
356,12,19,955.706474
357,12,20,908.512242
358,12,18,850.217655
359,12,17,880.386405
360,12,16,813.954311
361,12,21,569.223495
362,12,22,912.284069
363,12,23,646.565595
364,12,24,695.948182
365,12,26,1142.438636
366,12,25,1040.284636
367,12,27,1215.028359
368,12,28,1037.655989
369,12,29,1029.354942
370,12,31,1140.022388
371,12,30,1078.286459
372,12,32,1354.166159
373,13,1,1385.326976
374,13,2,689.552862
375,13,5,647.509811
376,13,3,691.462588
377,13,4,616.558687
378,13,6,625.381548
379,13,10,619.649734
380,13,8,685.364425
381,13,7,553.155825
382,13,9,399.644205
383,13,12,433.471328
384,13,11,358.032293
385,13,14,1180.000505
386,13,15,222.723589
387,13,19,1199.481988
388,13,20,1138.619822
389,13,18,1080.412051
390,13,17,1128.344077
391,13,16,1050.321817
392,13,21,437.646834
393,13,22,1108.253164
394,13,23,510.478671
395,13,24,579.082885
396,13,26,1248.709411
397,13,25,1147.717538
398,13,27,1320.867729
399,13,28,998.688213
400,13,29,962.195456
401,13,31,1095.131651
402,13,30,956.692769
403,13,32,1384.577488
404,14,1,2409.638386
405,14,2,1600.562221
406,14,5,1001.723875
407,14,3,1007.472372
408,14,4,1092.567430
409,14,6,929.643125
410,14,10,850.071163
411,14,8,814.932667
412,14,7,947.358505
413,14,9,1132.602978
414,14,12,902.451719
415,14,11,990.622368
416,14,13,1180.000505
417,14,15,1087.422901
418,14,19,108.999916
419,14,20,139.641147
420,14,18,154.769082
421,14,17,94.783892
422,14,16,159.971025
423,14,21,890.850435
424,14,22,231.645983
425,14,23,891.163670
426,14,24,863.245258
427,14,26,517.149060
428,14,25,471.480413
429,14,27,558.327137
430,14,28,786.373565
431,14,29,840.020886
432,14,31,840.934733
433,14,30,967.509261
434,14,32,804.069783
435,15,1,1596.261956
436,15,2,911.792222
437,15,5,778.734332
438,15,3,822.246244
439,15,4,771.317726
440,15,6,737.946077
441,15,10,708.382320
442,15,8,765.544613
443,15,7,670.941389
444,15,9,576.702350
445,15,12,526.732884
446,15,11,484.057858
447,15,13,222.723589
448,15,14,1087.422901
449,15,19,1088.020925
450,15,20,1023.052368
451,15,18,967.851055
452,15,17,1022.307169
453,15,16,942.548938
454,15,21,241.546870
455,15,22,977.912080
456,15,23,302.463407
457,15,24,370.761412
458,15,26,1076.610048
459,15,25,979.322019
460,15,27,1146.657603
461,15,28,791.653868
462,15,29,750.153179
463,15,31,884.866806
464,15,30,736.665476
465,15,32,1186.453663
466,16,1,2322.327220
467,16,2,1517.982899
468,16,5,950.071275
469,16,3,962.533250
470,16,4,1034.315217
471,16,6,874.832167
472,16,10,792.711944
473,16,8,769.179928
474,16,7,880.875341
475,16,9,1044.818671
476,16,12,813.954311
477,16,11,895.401644
478,16,13,1050.321817
479,16,14,159.971025
480,16,15,942.548938
481,16,19,149.312651
482,16,20,94.565805
483,16,18,37.373475
484,16,17,79.775383
485,16,21,737.548006
486,16,22,130.789509
487,16,23,734.040836
488,16,24,704.247449
489,16,26,436.636571
490,16,25,366.101502
491,16,27,493.311763
492,16,28,642.709971
493,16,29,692.155915
494,16,31,706.148617
495,16,30,817.133864
496,16,32,718.778832
497,17,1,2389.835911
498,17,2,1583.505973
499,17,5,1003.386086
500,17,3,1013.219564
501,17,4,1090.404551
502,17,6,929.150319
503,17,10,847.725141
504,17,8,819.488889
505,17,7,939.668301
506,17,9,1111.504474
507,17,12,880.386405
508,17,11,964.228543
509,17,13,1128.344077
510,17,14,94.783892
511,17,15,1022.307169
512,17,19,75.325772
513,17,20,53.402155
514,17,18,62.329012
515,17,16,79.775383
516,17,21,816.699072
517,17,22,140.041884
518,17,23,811.706577
519,17,24,780.174278
520,17,26,437.881454
521,17,25,383.421039
522,17,27,485.691413
523,17,28,691.647567
524,17,29,745.263388
525,17,31,747.189521
526,17,30,872.895655
527,17,32,724.748996
528,18,1,2358.141147
529,18,2,1554.298937
530,18,5,987.443999
531,18,3,999.860471
532,18,4,1071.652057
533,18,6,912.204354
534,18,10,830.079951
535,18,8,806.478489
536,18,7,918.100851
537,18,9,1080.964017
538,18,12,850.217655
539,18,11,931.052535
540,18,13,1080.412051
541,18,14,154.769082
542,18,15,967.851055
543,18,19,120.255766
544,18,20,59.286457
545,18,17,62.329012
546,18,16,37.373475
547,18,21,758.546891
548,18,22,100.133479
549,18,23,751.542963
550,18,24,718.906734
551,18,26,407.076288
552,18,25,341.731881
553,18,27,461.473611
554,18,28,634.464068
555,18,29,686.562741
556,18,31,693.488454
557,18,30,813.373691
558,18,32,691.307346
559,19,1,2465.160909
560,19,2,1658.761665
561,19,5,1076.344936
562,19,3,1085.343199
563,19,4,1164.086679
564,19,6,1002.451321
565,19,10,921.276877
566,19,8,891.693616
567,19,7,1014.050102
568,19,9,1186.824619
569,19,12,955.706474
570,19,11,1039.499631
571,19,13,1199.481988
572,19,14,108.999916
573,19,15,1088.020925
574,19,20,67.485226
575,19,18,120.255766
576,19,17,75.325772
577,19,16,149.312651
578,19,21,877.107087
579,19,22,149.461698
580,19,23,867.500768
581,19,24,832.124922
582,19,26,411.372954
583,19,25,373.775483
584,19,27,450.053319
585,19,28,707.454325
586,19,29,765.296355
587,19,31,753.852694
588,19,30,895.142835
589,19,32,697.546274
590,20,1,2416.855541
591,20,2,1612.526897
592,20,5,1041.517897
593,20,3,1052.875606
594,20,4,1126.820995
595,20,6,966.634647
596,20,10,884.731263
597,20,8,859.235846
598,20,7,974.171570
599,20,9,1139.384321
600,20,12,908.512242
601,20,11,989.870873
602,20,13,1138.619822
603,20,14,139.641147
604,20,15,1023.052368
605,20,19,67.485226
606,20,18,59.286457
607,20,17,53.402155
608,20,16,94.565805
609,20,21,810.387140
610,20,22,92.477816
611,20,23,800.114261
612,20,24,764.650904
613,20,26,384.649359
614,20,25,332.593916
615,20,27,432.353324
616,20,28,650.802971
617,20,29,706.634207
618,20,31,702.359233
619,20,30,835.585030
620,20,32,671.622607
621,21,1,1822.972052
622,21,2,1102.465266
623,21,5,831.327682
624,21,3,871.017692
625,21,4,852.158272
626,21,6,772.955045
627,21,10,720.116463
628,21,8,762.070836
629,21,7,718.597965
630,21,9,700.461414
631,21,12,569.223495
632,21,11,567.458691
633,21,13,437.646834
634,21,14,890.850435
635,21,15,241.546870
636,21,19,877.107087
637,21,20,810.387140
638,21,18,758.546891
639,21,17,816.699072
640,21,16,737.548006
641,21,22,755.998180
642,21,23,81.573796
643,21,24,145.642157
644,21,26,835.820954
645,21,25,739.500627
646,21,27,905.490943
647,21,28,561.211209
648,21,29,527.214852
649,21,31,658.555458
650,21,30,537.872636
651,21,32,949.042336
652,22,1,2414.015962
653,22,2,1615.047027
654,22,5,1065.835503
655,22,3,1080.716870
656,22,4,1146.810397
657,22,6,989.882130
658,22,10,907.436847
659,22,8,888.434995
660,22,7,990.745695
661,22,9,1141.239745
662,22,12,912.284069
663,22,11,988.161636
664,22,13,1108.253164
665,22,14,231.645983
666,22,15,977.912080
667,22,19,149.461698
668,22,20,92.477816
669,22,18,100.133479
670,22,17,140.041884
671,22,16,130.789509
672,22,21,755.998180
673,22,23,738.278363
674,22,24,697.741809
675,22,26,306.976890
676,22,25,244.201964
677,22,27,362.530127
678,22,28,559.321428
679,22,29,616.231449
680,22,31,609.882698
681,22,30,745.839890
682,22,32,591.347676
683,23,1,1894.770736
684,23,2,1181.799921
685,23,5,907.782248
686,23,3,946.816422
687,23,4,931.256895
688,23,6,847.644578
689,23,10,791.967969
690,23,8,830.992356
691,23,7,795.198798
692,23,9,781.967246
693,23,12,646.565595
694,23,11,647.940082
695,23,13,510.478671
696,23,14,891.163670
697,23,15,302.463407
698,23,19,867.500768
699,23,20,800.114261
700,23,18,751.542963
701,23,17,811.706577
702,23,16,734.040836
703,23,21,81.573796
704,23,22,738.278363
705,23,24,68.767465
706,23,26,789.332588
707,23,25,696.752300
708,23,27,856.962971
709,23,28,489.894603
710,23,29,451.724962
711,23,31,584.917432
712,23,30,456.899653
713,23,32,884.246722
714,24,1,1963.526265
715,24,2,1248.095558
716,24,5,954.891241
717,24,3,992.776384
718,24,4,983.166237
719,24,6,892.161357
720,24,10,832.696618
721,24,8,867.785707
722,24,7,842.842777
723,24,9,841.631189
724,24,12,695.948182
725,24,11,703.667462
726,24,13,579.082885
727,24,14,863.245258
728,24,15,370.761412
729,24,19,832.124922
730,24,20,764.650904
731,24,18,718.906734
732,24,17,780.174278
733,24,16,704.247449
734,24,21,145.642157
735,24,22,697.741809
736,24,23,68.767465
737,24,26,729.837844
738,24,25,639.736796
739,24,27,796.200072
740,24,28,421.200097
741,24,29,383.227786
742,24,31,516.183554
743,24,30,393.613099
744,24,32,816.646184
745,25,1,2505.649345
746,25,2,1726.059089
747,25,5,1230.430839
748,25,3,1251.502895
749,25,4,1301.683386
750,25,6,1154.054132
751,25,10,1072.579167
752,25,8,1065.520144
753,25,7,1142.279498
754,25,9,1258.739365
755,25,12,1040.284636
756,25,11,1101.925731
757,25,13,1147.717538
758,25,14,471.480413
759,25,15,979.322019
760,25,19,373.775483
761,25,20,332.593916
762,25,18,341.731881
763,25,17,383.421039
764,25,16,366.101502
765,25,21,739.500627
766,25,22,244.201964
767,25,23,696.752300
